month ,day ,area_sown,yield,inflation,price
jan,1,4.87,593,5.87,4400
jan,2,4.87,593,5.87,4400
jan,3,4.87,593,5.87,4500
jan,4,4.87,593,5.87,4600
jan,5,4.87,593,5.87,4550
jan,6,4.87,593,5.87,4460
jan,7,4.87,593,5.87,4400
jan,8,4.87,593,5.87,4400
jan,9,4.87,593,5.87,4350
jan,10,4.87,593,5.87,4350
jan,11,4.87,593,5.87,4300
jan,12,4.87,593,5.87,4300
jan,13,4.87,593,5.87,4300
jan,14,4.87,593,5.87,4350
jan,15,4.87,593,5.87,4350
jan,16,4.87,593,5.87,4350
jan,17,4.87,593,5.87,4300
jan,18,4.87,593,5.87,4300
jan,19,4.87,593,5.87,4300
jan,20,4.87,593,5.87,4350
jan,1,4.48,569,4.94,4860
jan,2,4.48,569,4.94,5200
jan,3,4.48,569,4.94,5180
jan,4,4.48,569,4.94,5150
jan,5,4.48,569,4.94,5272
jan,6,4.48,569,4.94,4850
jan,7,4.48,569,4.94,4850
jan,8,4.48,569,4.94,4850
jan,9,4.48,569,4.94,4830
jan,10,4.48,569,4.94,4850
jan,11,4.48,569,4.94,4900
jan,12,4.48,569,4.94,4800
jan,13,4.48,569,4.94,4900
jan,14,4.48,569,4.94,4925
jan,15,4.48,569,4.94,4950
jan,16,4.48,569,4.94,4900
jan,17,4.48,569,4.94,4920
jan,18,4.48,569,4.94,4900
jan,19,4.48,569,4.94,4900
jan,20,4.48,569,4.94,4890
jan,1,4.71,596,2.94,5380
jan,2,4.71,596,2.94,5340
jan,3,4.71,596,2.94,5450
jan,4,4.71,596,2.94,5520
jan,5,4.71,596,2.94,5525
jan,6,4.71,596,2.94,5560
jan,7,4.71,596,2.94,5420
jan,8,4.71,596,2.94,5730
jan,9,4.71,596,2.94,5610
jan,10,4.71,596,2.94,5640
jan,11,4.71,596,2.94,5515
jan,12,4.71,596,2.94,5750
jan,13,4.71,596,2.94,5800
jan,14,4.71,596,2.94,5750
jan,15,4.71,596,2.94,5760
jan,16,4.71,596,2.94,5780
jan,17,4.71,596,2.94,5420
jan,18,4.71,596,2.94,5730
jan,19,4.71,596,2.94,5610
jan,20,4.71,596,2.94,5640
jan,1,5.84,677,4.86,5115
jan,2,5.84,677,4.86,5100
jan,3,5.84,677,4.86,5080
jan,4,5.84,677,4.86,5125
jan,5,5.84,677,4.86,5110
jan,6,5.84,677,4.86,5125
jan,7,5.84,677,4.86,5130
jan,8,5.84,677,4.86,5130
jan,9,5.84,677,4.86,5140
jan,10,5.84,677,4.86,5140
jan,11,5.84,677,4.86,5130
jan,12,5.84,677,4.86,5200
jan,13,5.84,677,4.86,5200
jan,14,5.84,677,4.86,5200
jan,15,5.84,677,4.86,5100
jan,16,5.84,677,4.86,5080
jan,17,5.84,677,4.86,5125
jan,18,5.84,677,4.86,5110
jan,19,5.84,677,4.86,5125
jan,20,5.84,677,4.86,5130
jan,1,6.29,703,7.66,5440
jan,2,6.29,703,7.66,5520
jan,3,6.29,703,7.66,5555
jan,4,6.29,703,7.66,5620
jan,5,6.29,703,7.66,5515
jan,6,6.29,703,7.66,5510
jan,7,6.29,703,7.66,5400
jan,8,6.29,703,7.66,5500
jan,9,6.29,703,7.66,5540
jan,10,6.29,703,7.66,5585
jan,11,6.29,703,7.66,5565
jan,12,6.29,703,7.66,5415
jan,13,6.29,703,7.66,5400
jan,14,6.29,703,7.66,5530
jan,15,6.29,703,7.66,5425
jan,16,6.29,703,7.66,5360
jan,17,6.29,703,7.66,5510
jan,18,6.29,703,7.66,5350
jan,19,6.29,703,7.66,5455
jan,20,6.29,703,7.66,5520
jan,1,6.45,659,6.76,4900
jan,2,6.45,659,6.76,5000
jan,3,6.45,659,6.76,4800
jan,4,6.45,659,6.76,4000
jan,5,6.45,659,6.76,5400
jan,6,6.45,659,6.76,5400
jan,7,6.45,659,6.76,4850
jan,8,6.45,659,6.76,5400
jan,9,6.45,659,6.76,5000
jan,10,6.45,659,6.76,5100
jan,11,6.45,659,6.76,4900
jan,12,6.45,659,6.76,5000
jan,13,6.45,659,6.76,4800
jan,14,6.45,659,6.76,4000
jan,15,6.45,659,6.76,5400
jan,16,6.45,659,6.76,5400
jan,17,6.45,659,6.76,4850
jan,18,6.45,659,6.76,5400
jan,19,6.45,659,6.76,5000
jan,20,6.45,659,6.76,5100
