month,day,area_sown,yield,inflation,price
march,1,4.87,593,5.87,4270
march,2,4.87,593,5.87,4300
march,3,4.87,593,5.87,4300
march,4,4.87,593,5.87,4310
march,5,4.87,593,5.87,4280
march,6,4.87,593,5.87,4310
march,7,4.87,593,5.87,4315
march,8,4.87,593,5.87,4330
march,9,4.87,593,5.87,4270
march,10,4.87,593,5.87,4280
march,11,4.87,593,5.87,4270
march,12,4.87,593,5.87,4300
march,13,4.87,593,5.87,4300
march,14,4.87,593,5.87,4310
march,15,4.87,593,5.87,4280
march,16,4.87,593,5.87,4310
march,17,4.87,593,5.87,4315
march,18,4.87,593,5.87,4330
march,19,4.87,593,5.87,4270
march,20,4.87,593,5.87,4280
march,1,4.48,569,4.94,4920
march,2,4.48,569,4.94,4900
march,3,4.48,569,4.94,4900
march,4,4.48,569,4.94,4900
march,5,4.48,569,4.94,4890
march,6,4.48,569,4.94,4900
march,7,4.48,569,4.94,4900
march,8,4.48,569,4.94,4920
march,9,4.48,569,4.94,4900
march,10,4.48,569,4.94,4900
march,11,4.48,569,4.94,4910
march,12,4.48,569,4.94,4800
march,13,4.48,569,4.94,4920
march,14,4.48,569,4.94,4900
march,15,4.48,569,4.94,4900
march,16,4.48,569,4.94,4900
march,17,4.48,569,4.94,4890
march,18,4.48,569,4.94,4900
march,19,4.48,569,4.94,4900
march,20,4.48,569,4.94,4920
march,1,4.71,596,2.94,6040
march,2,4.71,596,2.94,6060
march,3,4.71,596,2.94,6050
march,4,4.71,596,2.94,6100
march,5,4.71,596,2.94,6050
march,6,4.71,596,2.94,6040
march,7,4.71,596,2.94,6060
march,8,4.71,596,2.94,6050
march,9,4.71,596,2.94,6100
march,10,4.71,596,2.94,6050
march,11,4.71,596,2.94,6040
march,12,4.71,596,2.94,6060
march,13,4.71,596,2.94,6050
march,14,4.71,596,2.94,6100
march,15,4.71,596,2.94,6050
march,16,4.71,596,2.94,6040
march,17,4.71,596,2.94,6060
march,18,4.71,596,2.94,6050
march,19,4.71,596,2.94,6100
march,20,4.71,596,2.94,6050
march,1,5.84,677,4.86,5050
march,2,5.84,677,4.86,5050
march,3,5.84,677,4.86,5125
march,4,5.84,677,4.86,5280
march,5,5.84,677,4.86,5050
march,6,5.84,677,4.86,5050
march,7,5.84,677,4.86,5050
march,8,5.84,677,4.86,5050
march,9,5.84,677,4.86,5050
march,10,5.84,677,4.86,5125
march,11,5.84,677,4.86,5280
march,12,5.84,677,4.86,5050
march,13,5.84,677,4.86,5050
march,14,5.84,677,4.86,5050
march,15,5.84,677,4.86,5050
march,16,5.84,677,4.86,5125
march,17,5.84,677,4.86,5280
march,18,5.84,677,4.86,5050
march,19,5.84,677,4.86,5050
march,20,5.84,677,4.86,5225
march,1,6.29,703,7.66,5230
march,2,6.29,703,7.66,5175
march,3,6.29,703,7.66,4730
march,4,6.29,703,7.66,5070
march,5,6.29,703,7.66,5050
march,6,6.29,703,7.66,5450
march,7,6.29,703,7.66,5450
march,8,6.29,703,7.66,5450
march,9,6.29,703,7.66,5600
march,10,6.29,703,7.66,5600
march,11,6.29,703,7.66,5620
march,12,6.29,703,7.66,5230
march,13,6.29,703,7.66,5175
march,14,6.29,703,7.66,4730
march,15,6.29,703,7.66,5070
march,16,6.29,703,7.66,5050
march,17,6.29,703,7.66,5450
march,18,6.29,703,7.66,5450
march,19,6.29,703,7.66,5450
march,20,6.29,703,7.66,5600
march,1,6.45,659,6.76,4710
march,2,6.45,659,6.76,4750
march,3,6.45,659,6.76,4800
march,4,6.45,659,6.76,5380
march,5,6.45,659,6.76,5350
march,6,6.45,659,6.76,4700
march,7,6.45,659,6.76,5180
march,8,6.45,659,6.76,5200
march,9,6.45,659,6.76,4710
march,10,6.45,659,6.76,4750
march,11,6.45,659,6.76,4800
march,12,6.45,659,6.76,5380
march,13,6.45,659,6.76,5350
march,14,6.45,659,6.76,4700
march,15,6.45,659,6.76,5180
march,16,6.45,659,6.76,5200
march,17,6.45,659,6.76,4710
march,18,6.45,659,6.76,4750
march,19,6.45,659,6.76,4800
march,20,6.45,659,6.76,5380
