month,day,area_sown,yield,inflation,price
april,1,4.87,593,5.87,4523
april,2,4.87,593,5.87,4475
april,3,4.87,593,5.87,4475
april,4,4.87,593,5.87,4600
april,5,4.87,593,5.87,4717
april,6,4.87,593,5.87,4666
april,7,4.87,593,5.87,4685
april,8,4.87,593,5.87,4523
april,9,4.87,593,5.87,4475
april,10,4.87,593,5.87,4475
april,11,4.87,593,5.87,4600
april,12,4.87,593,5.87,4717
april,13,4.87,593,5.87,4666
april,14,4.87,593,5.87,4685
april,15,4.87,593,5.87,4630
april,16,4.87,593,5.87,4666
april,17,4.87,593,5.87,4685
april,18,4.87,593,5.87,4523
april,19,4.87,593,5.87,4475
april,20,4.87,593,5.87,4475
april,1,4.48,569,4.94,4722
april,2,4.48,569,4.94,4712
april,3,4.48,569,4.94,4685
april,4,4.48,569,4.94,4715
april,5,4.48,569,4.94,4700
april,6,4.48,569,4.94,4711
april,7,4.48,569,4.94,4815
april,8,4.48,569,4.94,4850
april,9,4.48,569,4.94,4850
april,10,4.48,569,4.94,4900
april,11,4.48,569,4.94,4722
april,12,4.48,569,4.94,4712
april,13,4.48,569,4.94,4685
april,14,4.48,569,4.94,4715
april,15,4.48,569,4.94,4700
april,16,4.48,569,4.94,4711
april,17,4.48,569,4.94,4815
april,18,4.48,569,4.94,4850
april,19,4.48,569,4.94,4850
april,20,4.48,569,4.94,4900
april,1,4.71,596,2.94,4723
april,2,4.71,596,2.94,4725
april,3,4.71,596,2.94,4711
april,4,4.71,596,2.94,4729
april,5,4.71,596,2.94,4712
april,6,4.71,596,2.94,4711
april,7,4.71,596,2.94,4825
april,8,4.71,596,2.94,4860
april,9,4.71,596,2.94,4860
april,10,4.71,596,2.94,4900
april,11,4.71,596,2.94,4685
april,12,4.71,596,2.94,4715
april,13,4.71,596,2.94,4700
april,14,4.71,596,2.94,4711
april,15,4.71,596,2.94,4815
april,16,4.71,596,2.94,4850
april,17,4.71,596,2.94,4850
april,18,4.71,596,2.94,4900
april,19,4.71,596,2.94,4723
april,20,4.71,596,2.94,4725
april,1,5.84,677,4.86,4775
april,2,5.84,677,4.86,4740
april,3,5.84,677,4.86,4750
april,4,5.84,677,4.86,4790
april,5,5.84,677,4.86,4810
april,6,5.84,677,4.86,4780
april,7,5.84,677,4.86,4780
april,8,5.84,677,4.86,4790
april,9,5.84,677,4.86,4790
april,10,5.84,677,4.86,4780
april,11,5.84,677,4.86,4780
april,12,5.84,677,4.86,4790
april,13,5.84,677,4.86,4760
april,14,5.84,677,4.86,4750
april,15,5.84,677,4.86,4750
april,16,5.84,677,4.86,4750
april,17,5.84,677,4.86,4800
april,18,5.84,677,4.86,4770
april,19,5.84,677,4.86,4800
april,20,5.84,677,4.86,4750
april,1,6.29,703,7.66,6035
april,2,6.29,703,7.66,6020
april,3,6.29,703,7.66,6080
april,4,6.29,703,7.66,6125
april,5,6.29,703,7.66,6110
april,6,6.29,703,7.66,6190
april,7,6.29,703,7.66,6240
april,8,6.29,703,7.66,6200
april,9,6.29,703,7.66,6125
april,10,6.29,703,7.66,6060
april,11,6.29,703,7.66,6060
april,12,6.29,703,7.66,6100
april,13,6.29,703,7.66,6175
april,14,6.29,703,7.66,6150
april,15,6.29,703,7.66,6150
april,16,6.29,703,7.66,6250
april,17,6.29,703,7.66,6150
april,18,6.29,703,7.66,6200
april,19,6.29,703,7.66,6230
april,20,6.29,703,7.66,6240
april,1,6.45,659,6.76,5405
april,2,6.45,659,6.76,5405
april,3,6.45,659,6.76,5405
april,4,6.45,659,6.76,5405
april,5,6.45,659,6.76,5405
april,6,6.45,659,6.76,5405
april,7,6.45,659,6.76,5405
april,8,6.45,659,6.76,5405
april,9,6.45,659,6.76,5405
april,10,6.45,659,6.76,5405
april,11,6.45,659,6.76,5405
april,12,6.45,659,6.76,5405
april,13,6.45,659,6.76,4475
april,14,6.45,659,6.76,4495
april,15,6.45,659,6.76,4490
april,16,6.45,659,6.76,4515
april,17,6.45,659,6.76,4500
april,18,6.45,659,6.76,4516
april,19,6.45,659,6.76,4523
april,20,6.45,659,6.76,4530
