month,day,area_sown,yield,inflation,price
dec,1,4.48,569,4.94,4449
dec,2,4.48,569,4.94,4398
dec,3,4.48,569,4.94,4351
dec,4,4.48,569,4.94,4370
dec,5,4.48,569,4.94,4383
dec,6,4.48,569,4.94,4380
dec,7,4.48,569,4.94,4288
dec,8,4.48,569,4.94,4315
dec,9,4.48,569,4.94,4385
dec,10,4.48,569,4.94,4385
dec,11,4.48,569,4.94,4415
dec,12,4.48,569,4.94,4497
dec,13,4.48,569,4.94,4481
dec,14,4.48,569,4.94,4460
dec,15,4.48,569,4.94,4596
dec,16,4.48,569,4.94,4590
dec,17,4.48,569,4.94,4758
dec,18,4.48,569,4.94,4760
dec,19,4.48,569,4.94,4660
dec,20,4.48,569,4.94,4653
dec,1,4.71,596,2.94,5000
dec,2,4.71,596,2.94,5150
dec,3,4.71,596,2.94,5180
dec,4,4.71,596,2.94,5100
dec,5,4.71,596,2.94,5100
dec,6,4.71,596,2.94,5060
dec,7,4.71,596,2.94,5090
dec,8,4.71,596,2.94,5050
dec,9,4.71,596,2.94,5050
dec,10,4.71,596,2.94,5050
dec,11,4.71,596,2.94,5050
dec,12,4.71,596,2.94,5065
dec,13,4.71,596,2.94,5070
dec,14,4.71,596,2.94,5050
dec,15,4.71,596,2.94,5040
dec,16,4.71,596,2.94,5050
dec,17,4.71,596,2.94,5080
dec,18,4.71,596,2.94,5140
dec,19,4.71,596,2.94,5200
dec,20,4.71,596,2.94,5300
dec,1,5.84,677,4.86,5110
dec,2,5.84,677,4.86,5185
dec,3,5.84,677,4.86,5190
dec,4,5.84,677,4.86,5115
dec,5,5.84,677,4.86,5186
dec,6,5.84,677,4.86,5072
dec,7,5.84,677,4.86,5226
dec,8,5.84,677,4.86,5075
dec,9,5.84,677,4.86,5080
dec,10,5.84,677,4.86,5100
dec,11,5.84,677,4.86,5081
dec,12,5.84,677,4.86,5075
dec,13,5.84,677,4.86,5091
dec,14,5.84,677,4.86,5176
dec,15,5.84,677,4.86,5049
dec,16,5.84,677,4.86,5098
dec,17,5.84,677,4.86,5130
dec,18,5.84,677,4.86,5158
dec,19,5.84,677,4.86,5212
dec,20,5.84,677,4.86,5320
dec,1,6.29,703,7.66,5300
dec,2,6.29,703,7.66,5300
dec,3,6.29,703,7.66,5411
dec,4,6.29,703,7.66,5500
dec,5,6.29,703,7.66,5421
dec,6,6.29,703,7.66,5421
dec,7,6.29,703,7.66,5410
dec,8,6.29,703,7.66,5400
dec,9,6.29,703,7.66,5405
dec,10,6.29,703,7.66,5410
dec,11,6.29,703,7.66,5405
dec,12,6.29,703,7.66,5360
dec,13,6.29,703,7.66,5325
dec,14,6.29,703,7.66,5250
dec,15,6.29,703,7.66,5200
dec,16,6.29,703,7.66,5220
dec,17,6.29,703,7.66,5325
dec,18,6.29,703,7.66,5350
dec,19,6.29,703,7.66,5450
dec,20,6.29,703,7.66,5445
dec,1,6.45,659,6.76,5331
dec,2,6.45,659,6.76,5345
dec,3,6.45,659,6.76,5421
dec,4,6.45,659,6.76,5510
dec,5,6.45,659,6.76,5500
dec,6,6.45,659,6.76,5450
dec,7,6.45,659,6.76,5481
dec,8,6.45,659,6.76,5430
dec,9,6.45,659,6.76,5415
dec,10,6.45,659,6.76,5450
dec,11,6.45,659,6.76,5471
dec,12,6.45,659,6.76,5471
dec,13,6.45,659,6.76,5350
dec,14,6.45,659,6.76,5275
dec,15,6.45,659,6.76,5215
dec,16,6.45,659,6.76,5225
dec,17,6.45,659,6.76,5341
dec,18,6.45,659,6.76,5360
dec,19,6.45,659,6.76,5460
dec,20,6.45,659,6.76,5461
