month,day,area_sown,yield,inflation,price
feb,1,4.87,593,5.87,4061
feb,2,4.87,593,5.87,4070
feb,3,4.87,593,5.87,4025
feb,4,4.87,593,5.87,4112
feb,5,4.87,593,5.87,4050
feb,6,4.87,593,5.87,4050
feb,7,4.87,593,5.87,4043
feb,8,4.87,593,5.87,4032
feb,9,4.87,593,5.87,4032
feb,10,4.87,593,5.87,4035
feb,11,4.87,593,5.87,4026
feb,12,4.87,593,5.87,4065
feb,13,4.87,593,5.87,4076
feb,14,4.87,593,5.87,4072
feb,15,4.87,593,5.87,4054
feb,16,4.87,593,5.87,4043
feb,17,4.87,593,5.87,4111
feb,18,4.87,593,5.87,4140
feb,19,4.87,593,5.87,4161
feb,20,4.87,593,5.87,4159
feb,1,4.48,569,4.94,4560
feb,2,4.48,569,4.94,4575
feb,3,4.48,569,4.94,4580
feb,4,4.48,569,4.94,4500
feb,5,4.48,569,4.94,4520
feb,6,4.48,569,4.94,4470
feb,7,4.48,569,4.94,4480
feb,8,4.48,569,4.94,4482
feb,9,4.48,569,4.94,4510
feb,10,4.48,569,4.94,4520
feb,11,4.48,569,4.94,4511
feb,12,4.48,569,4.94,4635
feb,13,4.48,569,4.94,4635
feb,14,4.48,569,4.94,4600
feb,15,4.48,569,4.94,4580
feb,16,4.48,569,4.94,4575
feb,17,4.48,569,4.94,4550
feb,18,4.48,569,4.94,4550
feb,19,4.48,569,4.94,4580
feb,20,4.48,569,4.94,4620
feb,1,4.71,596,2.94,5910
feb,2,4.71,596,2.94,5940
feb,3,4.71,596,2.94,6004
feb,4,4.71,596,2.94,5943
feb,5,4.71,596,2.94,5940
feb,6,4.71,596,2.94,5925
feb,7,4.71,596,2.94,5910
feb,8,4.71,596,2.94,5920
feb,9,4.71,596,2.94,5995
feb,10,4.71,596,2.94,6031
feb,11,4.71,596,2.94,5980
feb,12,4.71,596,2.94,6030
feb,13,4.71,596,2.94,5900
feb,14,4.71,596,2.94,5900
feb,15,4.71,596,2.94,5870
feb,16,4.71,596,2.94,5815
feb,17,4.71,596,2.94,5934
feb,18,4.71,596,2.94,5868
feb,19,4.71,596,2.94,5909
feb,20,4.71,596,2.94,6050
feb,1,5.84,677,4.86,5150
feb,2,5.84,677,4.86,5250
feb,3,5.84,677,4.86,5250
feb,4,5.84,677,4.86,5240
feb,5,5.84,677,4.86,5150
feb,6,5.84,677,4.86,5150
feb,7,5.84,677,4.86,5200
feb,8,5.84,677,4.86,5200
feb,9,5.84,677,4.86,5230
feb,10,5.84,677,4.86,5190
feb,11,5.84,677,4.86,5115
feb,12,5.84,677,4.86,4982
feb,13,5.84,677,4.86,5070
feb,14,5.84,677,4.86,4950
feb,15,5.84,677,4.86,4980
feb,16,5.84,677,4.86,5000
feb,17,5.84,677,4.86,5000
feb,18,5.84,677,4.86,5070
feb,19,5.84,677,4.86,5080
feb,20,5.84,677,4.86,5060
feb,1,6.29,703,7.66,5500
feb,2,6.29,703,7.66,5451
feb,3,6.29,703,7.66,5450
feb,4,6.29,703,7.66,5400
feb,5,6.29,703,7.66,5450
feb,6,6.29,703,7.66,5430
feb,7,6.29,703,7.66,5430
feb,8,6.29,703,7.66,5460
feb,9,6.29,703,7.66,5560
feb,10,6.29,703,7.66,5500
feb,11,6.29,703,7.66,5518
feb,12,6.29,703,7.66,5500
feb,13,6.29,703,7.66,5471
feb,14,6.29,703,7.66,5460
feb,15,6.29,703,7.66,5450
feb,16,6.29,703,7.66,5450
feb,17,6.29,703,7.66,5450
feb,18,6.29,703,7.66,5450
feb,19,6.29,703,7.66,5470
feb,20,6.29,703,7.66,5460
feb,1,6.45,659,6.76,5250
feb,2,6.45,659,6.76,5240
feb,3,6.45,659,6.76,5230
feb,4,6.45,659,6.76,5225
feb,5,6.45,659,6.76,5271
feb,6,6.45,659,6.76,5270
feb,7,6.45,659,6.76,5268
feb,8,6.45,659,6.76,5250
feb,9,6.45,659,6.76,5250
feb,10,6.45,659,6.76,5250
feb,11,6.45,659,6.76,5238
feb,12,6.45,659,6.76,5250
feb,13,6.45,659,6.76,5150
feb,14,6.45,659,6.76,5150
feb,15,6.45,659,6.76,5150
feb,16,6.45,659,6.76,5150
feb,17,6.45,659,6.76,5150
feb,18,6.45,659,6.76,5140
feb,19,6.45,659,6.76,5100
feb,20,6.45,659,6.76,5100
