month ,day ,area_sown,yield,inflation,price
jan,1,4.87,593,5.87,4200
jan,2,4.87,593,5.87,4200
jan,3,4.87,593,5.87,4294
jan,4,4.87,593,5.87,4330
jan,5,4.87,593,5.87,4311
jan,6,4.87,593,5.87,4336
jan,7,4.87,593,5.87,4249
jan,8,4.87,593,5.87,4228
jan,9,4.87,593,5.87,4237
jan,10,4.87,593,5.87,4191
jan,11,4.87,593,5.87,4234
jan,12,4.87,593,5.87,4160
jan,13,4.87,593,5.87,4140
jan,14,4.87,593,5.87,4000
jan,15,4.87,593,5.87,4055
jan,16,4.87,593,5.87,4060
jan,17,4.87,593,5.87,4050
jan,18,4.87,593,5.87,4005
jan,19,4.87,593,5.87,3992
jan,20,4.87,593,5.87,4011
jan,1,4.48,569,4.94,4660
jan,2,4.48,569,4.94,4790
jan,3,4.48,569,4.94,4750
jan,4,4.48,569,4.94,4650
jan,5,4.48,569,4.94,4640
jan,6,4.48,569,4.94,4640
jan,7,4.48,569,4.94,4620
jan,8,4.48,569,4.94,4650
jan,9,4.48,569,4.94,4600
jan,10,4.48,569,4.94,4550
jan,11,4.48,569,4.94,4560
jan,12,4.48,569,4.94,4580
jan,13,4.48,569,4.94,4590
jan,14,4.48,569,4.94,4610
jan,15,4.48,569,4.94,4685
jan,16,4.48,569,4.94,4685
jan,17,4.48,569,4.94,4700
jan,18,4.48,569,4.94,4660
jan,19,4.48,569,4.94,4660
jan,20,4.48,569,4.94,4650
jan,1,4.71,596,2.94,5250
jan,2,4.71,596,2.94,5390
jan,3,4.71,596,2.94,5330
jan,4,4.71,596,2.94,5408
jan,5,4.71,596,2.94,5480
jan,6,4.71,596,2.94,5455
jan,7,4.71,596,2.94,5462
jan,8,4.71,596,2.94,5456
jan,9,4.71,596,2.94,5800
jan,10,4.71,596,2.94,5805
jan,11,4.71,596,2.94,5737
jan,12,4.71,596,2.94,5735
jan,13,4.71,596,2.94,5722
jan,14,4.71,596,2.94,5800
jan,15,4.71,596,2.94,5820
jan,16,4.71,596,2.94,5930
jan,17,4.71,596,2.94,5930
jan,18,4.71,596,2.94,5977
jan,19,4.71,596,2.94,5980
jan,20,4.71,596,2.94,5995
jan,1,5.84,677,4.86,5200
jan,2,5.84,677,4.86,5250
jan,3,5.84,677,4.86,5270
jan,4,5.84,677,4.86,5330
jan,5,5.84,677,4.86,5455
jan,6,5.84,677,4.86,5350
jan,7,5.84,677,4.86,5340
jan,8,5.84,677,4.86,5340
jan,9,5.84,677,4.86,5315
jan,10,5.84,677,4.86,5610
jan,11,5.84,677,4.86,5580
jan,12,5.84,677,4.86,5435
jan,13,5.84,677,4.86,5410
jan,14,5.84,677,4.86,5440
jan,15,5.84,677,4.86,5400
jan,16,5.84,677,4.86,5440
jan,17,5.84,677,4.86,5440
jan,18,5.84,677,4.86,5430
jan,19,5.84,677,4.86,5425
jan,20,5.84,677,4.86,5330
jan,1,6.29,703,7.66,5490
jan,2,6.29,703,7.66,5486
jan,3,6.29,703,7.66,5390
jan,4,6.29,703,7.66,5400
jan,5,6.29,703,7.66,5415
jan,6,6.29,703,7.66,5430
jan,7,6.29,703,7.66,5430
jan,8,6.29,703,7.66,5361
jan,9,6.29,703,7.66,5360
jan,10,6.29,703,7.66,5360
jan,11,6.29,703,7.66,5325
jan,12,6.29,703,7.66,5325
jan,13,6.29,703,7.66,5350
jan,14,6.29,703,7.66,5380
jan,15,6.29,703,7.66,5410
jan,16,6.29,703,7.66,5475
jan,17,6.29,703,7.66,5470
jan,18,6.29,703,7.66,5480
jan,19,6.29,703,7.66,5421
jan,20,6.29,703,7.66,5405
jan,1,6.45,659,6.76,5210
jan,2,6.45,659,6.76,5405
jan,3,6.45,659,6.76,5268
jan,4,6.45,659,6.76,5270
jan,5,6.45,659,6.76,5236
jan,6,6.45,659,6.76,5270
jan,7,6.45,659,6.76,5405
jan,8,6.45,659,6.76,5400
jan,9,6.45,659,6.76,5375
jan,10,6.45,659,6.76,5365
jan,11,6.45,659,6.76,5400
jan,12,6.45,659,6.76,5370
jan,13,6.45,659,6.76,5361
jan,14,6.45,659,6.76,5275
jan,15,6.45,659,6.76,5350
jan,16,6.45,659,6.76,5350
jan,17,6.45,659,6.76,5340
jan,18,6.45,659,6.76,5325
jan,19,6.45,659,6.76,5300
jan,20,6.45,659,6.76,5250
