month,day,area_sown,yield,inflation,price
march,1,4.87,593,5.87,4161
march,2,4.87,593,5.87,4182
march,3,4.87,593,5.87,4161
march,4,4.87,593,5.87,4128
march,5,4.87,593,5.87,4131
march,6,4.87,593,5.87,4136
march,7,4.87,593,5.87,4118
march,8,4.87,593,5.87,4130
march,9,4.87,593,5.87,4167
march,10,4.87,593,5.87,4160
march,11,4.87,593,5.87,4160
march,12,4.87,593,5.87,4270
march,13,4.87,593,5.87,4271
march,14,4.87,593,5.87,4275
march,15,4.87,593,5.87,4241
march,16,4.87,593,5.87,4275
march,17,4.87,593,5.87,4298
march,18,4.87,593,5.87,4350
march,19,4.87,593,5.87,4376
march,20,4.87,593,5.87,4375
march,1,4.48,569,4.94,4580
march,2,4.48,569,4.94,4575
march,3,4.48,569,4.94,4560
march,4,4.48,569,4.94,4550
march,5,4.48,569,4.94,4624
march,6,4.48,569,4.94,4600
march,7,4.48,569,4.94,4600
march,8,4.48,569,4.94,4640
march,9,4.48,569,4.94,4595
march,10,4.48,569,4.94,4575
march,11,4.48,569,4.94,4555
march,12,4.48,569,4.94,4525
march,13,4.48,569,4.94,4525
march,14,4.48,569,4.94,4521
march,15,4.48,569,4.94,4521
march,16,4.48,569,4.94,4525
march,17,4.48,569,4.94,4595
march,18,4.48,569,4.94,4575
march,19,4.48,569,4.94,4555
march,20,4.48,569,4.94,4525
march,1,4.71,596,2.94,6100
march,2,4.71,596,2.94,6113
march,3,4.71,596,2.94,6100
march,4,4.71,596,2.94,6138
march,5,4.71,596,2.94,6165
march,6,4.71,596,2.94,6230
march,7,4.71,596,2.94,6240
march,8,4.71,596,2.94,6200
march,9,4.71,596,2.94,6060
march,10,4.71,596,2.94,5991
march,11,4.71,596,2.94,6100
march,12,4.71,596,2.94,6113
march,13,4.71,596,2.94,6100
march,14,4.71,596,2.94,6138
march,15,4.71,596,2.94,6165
march,16,4.71,596,2.94,6230
march,17,4.71,596,2.94,6240
march,18,4.71,596,2.94,6200
march,19,4.71,596,2.94,6060
march,20,4.71,596,2.94,5991
march,1,5.84,677,4.86,5050
march,2,5.84,677,4.86,5010
march,3,5.84,677,4.86,5080
march,4,5.84,677,4.86,5020
march,5,5.84,677,4.86,4950
march,6,5.84,677,4.86,4970
march,7,5.84,677,4.86,4960
march,8,5.84,677,4.86,4750
march,9,5.84,677,4.86,4780
march,10,5.84,677,4.86,4780
march,11,5.84,677,4.86,4830
march,12,5.84,677,4.86,4847
march,13,5.84,677,4.86,4840
march,14,5.84,677,4.86,4800
march,15,5.84,677,4.86,4790
march,16,5.84,677,4.86,4790
march,17,5.84,677,4.86,4750
march,18,5.84,677,4.86,4760
march,19,5.84,677,4.86,4740
march,20,5.84,677,4.86,4760
march,1,6.29,703,7.66,5520
march,2,6.29,703,7.66,5570
march,3,6.29,703,7.66,5581
march,4,6.29,703,7.66,5611
march,5,6.29,703,7.66,5625
march,6,6.29,703,7.66,5650
march,7,6.29,703,7.66,5910
march,8,6.29,703,7.66,5910
march,9,6.29,703,7.66,6000
march,10,6.29,703,7.66,6100
march,11,6.29,703,7.66,6020
march,12,6.29,703,7.66,6050
march,13,6.29,703,7.66,6030
march,14,6.29,703,7.66,5900
march,15,6.29,703,7.66,5980
march,16,6.29,703,7.66,5910
march,17,6.29,703,7.66,6000
march,18,6.29,703,7.66,6100
march,19,6.29,703,7.66,6020
march,20,6.29,703,7.66,6050
march,1,6.45,659,6.76,4995
march,2,6.45,659,6.76,5025
march,3,6.45,659,6.76,5125
march,4,6.45,659,6.76,5100
march,5,6.45,659,6.76,5405
march,6,6.45,659,6.76,5225
march,7,6.45,659,6.76,5195
march,8,6.45,659,6.76,5080
march,9,6.45,659,6.76,4975
march,10,6.45,659,6.76,4950
march,11,6.45,659,6.76,4900
march,12,6.45,659,6.76,4971
march,13,6.45,659,6.76,4950
march,14,6.45,659,6.76,4950
march,15,6.45,659,6.76,5405
march,16,6.45,659,6.76,4760
march,17,6.45,659,6.76,5405
march,18,6.45,659,6.76,5405
march,19,6.45,659,6.76,5405
march,20,6.45,659,6.76,5405
