month,day,price
oct,1,4549
oct,2,4516
oct,3,4486
oct,4,4475
oct,5,4541
oct,6,4571
oct,7,4575
oct,8,4521
oct,9,4506
oct,10,4525
oct,11,4485
oct,12,4593
oct,13,4589
oct,14,4621
oct,15,4591
oct,16,4583
oct,17,4637
oct,18,4625
oct,19,4628
oct,20,4631
oct,1,5350
oct,2,5380
oct,3,5350
oct,4,5300
oct,5,5190
oct,6,5100
oct,7,5000
oct,8,5000
oct,9,4900
oct,10,4900
oct,11,4980
oct,12,4900
oct,13,5000
oct,14,5050
oct,15,5050
oct,16,5060
oct,17,5085
oct,18,4880
oct,19,4950
oct,20,5000
oct,1,5401
oct,2,5425
oct,3,5355
oct,4,5311
oct,5,5230
oct,6,5136
oct,7,5072
oct,8,5036
oct,9,5021
oct,10,4957
oct,11,5021
oct,12,4990
oct,13,5063
oct,14,5069
oct,15,5065
oct,16,5084
oct,17,5110
oct,18,4922
oct,19,5000
oct,20,5014
oct,1,5170
oct,2,5170
oct,3,5160
oct,4,5230
oct,5,5255
oct,6,5280
oct,7,5310
oct,8,5345
oct,9,5350
oct,10,5335
oct,11,5315
oct,12,5360
oct,13,5315
oct,14,5320
oct,15,5315
oct,16,5225
oct,17,5260
oct,18,5290
oct,19,5275
oct,20,5350
oct,1,5215
oct,2,5192
oct,3,5190
oct,4,5242
oct,5,5270
oct,6,5296
oct,7,5331
oct,8,5360
oct,9,5370
oct,10,5361
oct,11,5360
oct,12,5369
oct,13,5360
oct,14,5335
oct,15,5400
oct,16,5260
oct,17,5280
oct,18,5306
oct,19,5300
oct,20,5400
