month,day,area_sown,yield,inflation,price
april,1,4.87,593,5.87,4372
april,2,4.87,593,5.87,5350
april,3,4.87,593,5.87,5226
april,4,4.87,593,5.87,5501
april,5,4.87,593,5.87,5250
april,6,4.87,593,5.87,5551
april,7,4.87,593,5.87,4500
april,8,4.87,593,5.87,5171
april,9,4.87,593,5.87,4900
april,10,4.87,593,5.87,5300
april,11,4.87,593,5.87,4750
april,12,4.87,593,5.87,5100
april,13,4.87,593,5.87,4981
april,14,4.87,593,5.87,5201
april,15,4.87,593,5.87,5251
april,16,4.87,593,5.87,5051
april,17,4.87,593,5.87,4980
april,18,4.87,593,5.87,4825
april,19,4.87,593,5.87,4701
april,20,4.87,593,5.87,4680
april,1,4.48,569,4.94,5100
april,2,4.48,569,4.94,5061
april,3,4.48,569,4.94,5400
april,4,4.48,569,4.94,5226
april,5,4.48,569,4.94,5620
april,6,4.48,569,4.94,5500
april,7,4.48,569,4.94,5551
april,8,4.48,569,4.94,5255
april,9,4.48,569,4.94,5261
april,10,4.48,569,4.94,5390
april,11,4.48,569,4.94,5350
april,12,4.48,569,4.94,5180
april,13,4.48,569,4.94,5150
april,14,4.48,569,4.94,5151
april,15,4.48,569,4.94,5425
april,16,4.48,569,4.94,5275
april,17,4.48,569,4.94,5250
april,18,4.48,569,4.94,5000
april,19,4.48,569,4.94,4971
april,20,4.48,569,4.94,4921
april,1,4.71,596,2.94,5200
april,2,4.71,596,2.94,4810
april,3,4.71,596,2.94,4918
april,4,4.71,596,2.94,4918
april,5,4.71,596,2.94,4983
april,6,4.71,596,2.94,4983
april,7,4.71,596,2.94,5013
april,8,4.71,596,2.94,5091
april,9,4.71,596,2.94,4886
april,10,4.71,596,2.94,4825
april,11,4.71,596,2.94,4888
april,12,4.71,596,2.94,4905
april,13,4.71,596,2.94,4817
april,14,4.71,596,2.94,4801
april,15,4.71,596,2.94,4841
april,16,4.71,596,2.94,4843
april,17,4.71,596,2.94,4825
april,18,4.71,596,2.94,4888
april,19,4.71,596,2.94,4905
april,20,4.71,596,2.94,4841
april,1,5.84,677,4.86,4800
april,2,5.84,677,4.86,4900
april,3,5.84,677,4.86,4921
april,4,5.84,677,4.86,4766
april,5,5.84,677,4.86,4921
april,6,5.84,677,4.86,4911
april,7,5.84,677,4.86,4925
april,8,5.84,677,4.86,4911
april,9,5.84,677,4.86,4850
april,10,5.84,677,4.86,4850
april,11,5.84,677,4.86,4850
april,12,5.84,677,4.86,4825
april,13,5.84,677,4.86,4921
april,14,5.84,677,4.86,4766
april,15,5.84,677,4.86,4921
april,16,5.84,677,4.86,4911
april,17,5.84,677,4.86,4925
april,18,5.84,677,4.86,4911
april,19,5.84,677,4.86,4850
april,20,5.84,677,4.86,4850
april,1,6.29,703,7.66,6080
april,2,6.29,703,7.66,5400
april,3,6.29,703,7.66,6187
april,4,6.29,703,7.66,5910
april,5,6.29,703,7.66,4500
april,6,6.29,703,7.66,6300
april,7,6.29,703,7.66,6125
april,8,6.29,703,7.66,5400
april,9,6.29,703,7.66,6187
april,10,6.29,703,7.66,6000
april,11,6.29,703,7.66,4500
april,12,6.29,703,7.66,6300
april,13,6.29,703,7.66,6080
april,14,6.29,703,7.66,5400
april,15,6.29,703,7.66,6187
april,16,6.29,703,7.66,5910
april,17,6.29,703,7.66,4500
april,18,6.29,703,7.66,6300
april,19,6.29,703,7.66,6125
april,20,6.29,703,7.66,5400
april,1,6.45,659,6.76,4868
april,2,6.45,659,6.76,4850
april,3,6.45,659,6.76,4596
april,4,6.45,659,6.76,4421
april,5,6.45,659,6.76,4551
april,6,6.45,659,6.76,4700
april,7,6.45,659,6.76,4700
april,8,6.45,659,6.76,4650
april,9,6.45,659,6.76,3300
april,10,6.45,659,6.76,3983.027778
april,11,6.45,659,6.76,4868
april,12,6.45,659,6.76,4850
april,13,6.45,659,6.76,4596
april,14,6.45,659,6.76,4421
april,15,6.45,659,6.76,4551
april,16,6.45,659,6.76,4700
april,17,6.45,659,6.76,4700
april,18,6.45,659,6.76,4650
april,19,6.45,659,6.76,3300
april,20,6.45,659,6.76,3983.027778
