month,day,area_sown,yield,inflation,price
march,1,4.87,593,5.87,3750
march,2,4.87,593,5.87,3750
march,3,4.87,593,5.87,3750
march,4,4.87,593,5.87,3475
march,5,4.87,593,5.87,3573
march,6,4.87,593,5.87,3851
march,7,4.87,593,5.87,3700
march,8,4.87,593,5.87,3911
march,9,4.87,593,5.87,3850
march,10,4.87,593,5.87,3911
march,11,4.87,593,5.87,3821
march,12,4.87,593,5.87,3686
march,13,4.87,593,5.87,3750
march,14,4.87,593,5.87,3900
march,15,4.87,593,5.87,3600
march,16,4.87,593,5.87,3646
march,17,4.87,593,5.87,3851
march,18,4.87,593,5.87,3800
march,19,4.87,593,5.87,3911
march,20,4.87,593,5.87,3850
march,1,4.48,569,4.94,4700
march,2,4.48,569,4.94,4521
march,3,4.48,569,4.94,4600
march,4,4.48,569,4.94,4631
march,5,4.48,569,4.94,4200
march,6,4.48,569,4.94,5270
march,7,4.48,569,4.94,5152
march,8,4.48,569,4.94,5151
march,9,4.48,569,4.94,4136
march,10,4.48,569,4.94,4700
march,11,4.48,569,4.94,4521
march,12,4.48,569,4.94,4600
march,13,4.48,569,4.94,4631
march,14,4.48,569,4.94,4200
march,15,4.48,569,4.94,5270
march,16,4.48,569,4.94,5152
march,17,4.48,569,4.94,5151
march,18,4.48,569,4.94,4136
march,19,4.48,569,4.94,4156
march,20,4.48,569,4.94,4200
march,1,4.71,596,2.94,5840
march,2,4.71,596,2.94,6065
march,3,4.71,596,2.94,4766
march,4,4.71,596,2.94,5575
march,5,4.71,596,2.94,6175
march,6,4.71,596,2.94,6131
march,7,4.71,596,2.94,5801
march,8,4.71,596,2.94,5615
march,9,4.71,596,2.94,5715
march,10,4.71,596,2.94,5521
march,11,4.71,596,2.94,6200
march,12,4.71,596,2.94,5840
march,13,4.71,596,2.94,6065
march,14,4.71,596,2.94,4766
march,15,4.71,596,2.94,5575
march,16,4.71,596,2.94,6175
march,17,4.71,596,2.94,6131
march,18,4.71,596,2.94,5801
march,19,4.71,596,2.94,5615
march,20,4.71,596,2.94,5715
march,1,5.84,677,4.86,5025
march,2,5.84,677,4.86,4810
march,3,5.84,677,4.86,4918
march,4,5.84,677,4.86,4918
march,5,5.84,677,4.86,4983
march,6,5.84,677,4.86,4983
march,7,5.84,677,4.86,5013
march,8,5.84,677,4.86,5091
march,9,5.84,677,4.86,4886
march,10,5.84,677,4.86,4825
march,11,5.84,677,4.86,4888
march,12,5.84,677,4.86,4905
march,13,5.84,677,4.86,4817
march,14,5.84,677,4.86,4801
march,15,5.84,677,4.86,4841
march,16,5.84,677,4.86,4843
march,17,5.84,677,4.86,4825
march,18,5.84,677,4.86,4888
march,19,5.84,677,4.86,4905
march,20,5.84,677,4.86,4841
march,1,6.29,703,7.66,5506
march,2,6.29,703,7.66,5580
march,3,6.29,703,7.66,5606
march,4,6.29,703,7.66,5681
march,5,6.29,703,7.66,5536
march,6,6.29,703,7.66,5425
march,7,6.29,703,7.66,5799
march,8,6.29,703,7.66,5871
march,9,6.29,703,7.66,5900
march,10,6.29,703,7.66,5600
march,11,6.29,703,7.66,6050
march,12,6.29,703,7.66,5611
march,13,6.29,703,7.66,5680
march,14,6.29,703,7.66,5711
march,15,6.29,703,7.66,5690
march,16,6.29,703,7.66,5671
march,17,6.29,703,7.66,5500
march,18,6.29,703,7.66,5972
march,19,6.29,703,7.66,6021
march,20,6.29,703,7.66,5900
march,1,6.45,659,6.76,4950
march,2,6.45,659,6.76,4951
march,3,6.45,659,6.76,5031
march,4,6.45,659,6.76,5060
march,5,6.45,659,6.76,5089
march,6,6.45,659,6.76,4986
march,7,6.45,659,6.76,5000
march,8,6.45,659,6.76,4990
march,9,6.45,659,6.76,4940
march,10,6.45,659,6.76,4875
march,11,6.45,659,6.76,4950
march,12,6.45,659,6.76,4951
march,13,6.45,659,6.76,5031
march,14,6.45,659,6.76,5060
march,15,6.45,659,6.76,5089
march,16,6.45,659,6.76,4986
march,17,6.45,659,6.76,5000
march,18,6.45,659,6.76,4990
march,19,6.45,659,6.76,4940
march,20,6.45,659,6.76,4875
