month,day,area_sown,yield,inflation,price
oct,1,4.71,596,2.94,4350
oct,2,4.71,596,2.94,4400
oct,3,4.71,596,2.94,4380
oct,4,4.71,596,2.94,4450
oct,5,4.71,596,2.94,4490
oct,6,4.71,596,2.94,4554
oct,7,4.71,596,2.94,4480
oct,8,4.71,596,2.94,4455
oct,9,4.71,596,2.94,4799
oct,10,4.71,596,2.94,4490
oct,11,4.71,596,2.94,4480
oct,12,4.71,596,2.94,4225
oct,13,4.71,596,2.94,4160
oct,14,4.71,596,2.94,4135
oct,15,4.71,596,2.94,4230
oct,16,4.71,596,2.94,4554
oct,17,4.71,596,2.94,4480
oct,18,4.71,596,2.94,4455
oct,19,4.71,596,2.94,4799
oct,20,4.71,596,2.94,4490
oct,1,5.84,677,4.86,5181
oct,2,5.84,677,4.86,5172
oct,3,5.84,677,4.86,4881
oct,4,5.84,677,4.86,4891
oct,5,5.84,677,4.86,4906
oct,6,5.84,677,4.86,4726
oct,7,5.84,677,4.86,4811
oct,8,5.84,677,4.86,4775
oct,9,5.84,677,4.86,4800
oct,10,5.84,677,4.86,4901
oct,11,5.84,677,4.86,4943
oct,12,5.84,677,4.86,4901
oct,13,5.84,677,4.86,4820
oct,14,5.84,677,4.86,4772
oct,15,5.84,677,4.86,4826
oct,16,5.84,677,4.86,4966
oct,17,5.84,677,4.86,4965
oct,18,5.84,677,4.86,4875
oct,19,5.84,677,4.86,4821
oct,20,5.84,677,4.86,4913
oct,1,6.29,703,7.66,5261
oct,2,6.29,703,7.66,5237
oct,3,6.29,703,7.66,4932
oct,4,6.29,703,7.66,4911
oct,5,6.29,703,7.66,4960
oct,6,6.29,703,7.66,4811
oct,7,6.29,703,7.66,4871
oct,8,6.29,703,7.66,4871
oct,9,6.29,703,7.66,4900
oct,10,6.29,703,7.66,4968
oct,11,6.29,703,7.66,5016
oct,12,6.29,703,7.66,4969
oct,13,6.29,703,7.66,5000
oct,14,6.29,703,7.66,4841
oct,15,6.29,703,7.66,4931
oct,16,6.29,703,7.66,5032
oct,17,6.29,703,7.66,5017
oct,18,6.29,703,7.66,4939
oct,19,6.29,703,7.66,4941
oct,20,6.29,703,7.66,5025
oct,1,6.45,659,6.76,5526
oct,2,6.45,659,6.76,5275
oct,3,6.45,659,6.76,5216
oct,4,6.45,659,6.76,5208
oct,5,6.45,659,6.76,5198
oct,6,6.45,659,6.76,5657
oct,7,6.45,659,6.76,5199
oct,8,6.45,659,6.76,5231
oct,9,6.45,659,6.76,5230
oct,10,6.45,659,6.76,5191
oct,11,6.45,659,6.76,5156
oct,12,6.45,659,6.76,5122
oct,13,6.45,659,6.76,5281
oct,14,6.45,659,6.76,5233
oct,15,6.45,659,6.76,5288
oct,16,6.45,659,6.76,5287
oct,17,6.45,659,6.76,5383
oct,18,6.45,659,6.76,5360
oct,19,6.45,659,6.76,5388
oct,20,6.45,659,6.76,5383
