month,day,area_sown,yield,inflation,price
august,1,1.42,519,2.94,3400
august,2,1.42,519,2.94,3400
august,3,1.42,519,2.94,3400
august,4,1.42,519,2.94,3400
august,5,1.42,519,2.94,3400
august,6,1.42,519,2.94,3400
august,7,1.42,519,2.94,3400
august,8,1.42,519,2.94,3400
august,9,1.42,519,2.94,3400
august,10,1.42,519,2.94,3400
august,11,1.42,519,2.94,3400
august,12,1.42,519,2.94,3400
august,13,1.42,519,2.94,3400
august,14,1.42,519,2.94,3400
august,15,1.42,519,2.94,3400
august,16,1.42,519,2.94,3400
august,17,1.42,519,2.94,3400
august,18,1.42,519,2.94,3400
august,19,1.42,519,2.94,3000
august,20,1.42,519,2.94,3400
august,1,1.83,511,4.86,4800
august,2,1.83,511,4.86,4800
august,3,1.83,511,4.86,4800
august,4,1.83,511,4.86,4800
august,5,1.83,511,4.86,4800
august,6,1.83,511,4.86,4800
august,7,1.83,511,4.86,4800
august,8,1.83,511,4.86,4800
august,9,1.83,511,4.86,5789
august,10,1.83,511,4.86,5509
august,11,1.83,511,4.86,5439
august,12,1.83,511,4.86,4909
august,13,1.83,511,4.86,4989
august,14,1.83,511,4.86,4739
august,15,1.83,511,4.86,3909
august,16,1.83,511,4.86,2901
august,17,1.83,511,4.86,1914
august,18,1.83,511,4.86,4302
august,19,1.83,511,4.86,4454
august,20,1.83,511,4.86,4417
august,1,1.33,639,7.66,4500
august,2,1.33,639,7.66,4500
august,3,1.33,639,7.66,4500
august,4,1.33,639,7.66,4500
august,5,1.33,639,7.66,4500
august,6,1.33,639,7.66,4500
august,7,1.33,639,7.66,4500
august,8,1.33,639,7.66,4500
august,9,1.33,639,7.66,4500
august,10,1.33,639,7.66,4400
august,11,1.33,639,7.66,4400
august,12,1.33,639,7.66,4400
august,13,1.33,639,7.66,4400
august,14,1.33,639,7.66,4400
august,15,1.33,639,7.66,4400
august,16,1.33,639,7.66,4400
august,17,1.33,639,7.66,4400
august,18,1.33,639,7.66,4400
august,19,1.33,639,7.66,4400
august,20,1.33,639,7.66,4400
august,1,1.28,797,6.76,5100
august,2,1.28,797,6.76,5100
august,3,1.28,797,6.76,5100
august,4,1.28,797,6.76,5100
august,5,1.28,797,6.76,5100
august,6,1.28,797,6.76,5000
august,7,1.28,797,6.76,5000
august,8,1.28,797,6.76,5000
august,9,1.28,797,6.76,5000
august,10,1.28,797,6.76,5000
august,11,1.28,797,6.76,5000
august,12,1.28,797,6.76,5000
august,13,1.28,797,6.76,5000
august,14,1.28,797,6.76,5000
august,15,1.28,797,6.76,5000
august,16,1.28,797,6.76,5000
august,17,1.28,797,6.76,5000
august,18,1.28,797,6.76,5000
august,19,1.28,797,6.76,5000
august,20,1.28,797,6.76,5000
