month,day,price
feb,1,3000
feb,2,3000
feb,3,3000
feb,4,3000
feb,5,3000
feb,6,3000
feb,7,3000
feb,8,3000
feb,9,3000
feb,10,3000
feb,11,3000
feb,12,3000
feb,13,3000
feb,14,3000
feb,15,3000
feb,16,3000
feb,17,3000
feb,18,3000
feb,19,3000
feb,20,3000
feb,1,3600
feb,2,3600
feb,3,3600
feb,4,3600
feb,5,3600
feb,6,3600
feb,7,3600
feb,8,3600
feb,9,3700
feb,10,3700
feb,11,3700
feb,12,3700
feb,13,3700
feb,14,3700
feb,15,3700
feb,16,3700
feb,17,3700
feb,18,3700
feb,19,3700
feb,20,3700
feb,1,4800
feb,2,4800
feb,3,4800
feb,4,4800
feb,5,4800
feb,6,4800
feb,7,4800
feb,8,4800
feb,9,4800
feb,10,4800
feb,11,4800
feb,12,4800
feb,13,4800
feb,14,4800
feb,15,4800
feb,16,4800
feb,17,4800
feb,18,4800
feb,19,4800
feb,20,4800
feb,1,4300
feb,2,4300
feb,3,4200
feb,4,4300
feb,5,4300
feb,6,4100
feb,7,4300
feb,8,4200
feb,9,4300
feb,10,4300
feb,11,4200
feb,12,4300
feb,13,4200
feb,14,4300
feb,15,4300
feb,16,4300
feb,17,4300
feb,18,4300
feb,19,4200
feb,20,4400
