month ,day ,area_sown,yield,inflation,price
jan,1,1.42,519,2.94,3100
jan,2,1.42,519,2.94,3100
jan,3,1.42,519,2.94,3100
jan,4,1.42,519,2.94,3200
jan,5,1.42,519,2.94,3200
jan,6,1.42,519,2.94,3200
jan,7,1.42,519,2.94,3200
jan,8,1.42,519,2.94,3200
jan,9,1.42,519,2.94,3200
jan,10,1.42,519,2.94,3200
jan,11,1.42,519,2.94,3200
jan,12,1.42,519,2.94,3200
jan,13,1.42,519,2.94,3200
jan,14,1.42,519,2.94,3200
jan,15,1.42,519,2.94,3200
jan,16,1.42,519,2.94,3200
jan,17,1.42,519,2.94,3000
jan,18,1.42,519,2.94,3000
jan,19,1.42,519,2.94,3000
jan,20,1.42,519,2.94,3000
jan,1,1.83,511,4.86,3600
jan,2,1.83,511,4.86,3600
jan,3,1.83,511,4.86,3600
jan,4,1.83,511,4.86,3600
jan,5,1.83,511,4.86,3600
jan,6,1.83,511,4.86,3600
jan,7,1.83,511,4.86,3600
jan,8,1.83,511,4.86,3600
jan,9,1.83,511,4.86,3600
jan,10,1.83,511,4.86,3600
jan,11,1.83,511,4.86,3600
jan,12,1.83,511,4.86,3600
jan,13,1.83,511,4.86,3600
jan,14,1.83,511,4.86,3600
jan,15,1.83,511,4.86,3600
jan,16,1.83,511,4.86,3600
jan,17,1.83,511,4.86,3600
jan,18,1.83,511,4.86,3600
jan,19,1.83,511,4.86,3600
jan,20,1.83,511,4.86,3600
jan,1,1.33,639,7.66,4050
jan,2,1.33,639,7.66,4050
jan,3,1.33,639,7.66,4200
jan,4,1.33,639,7.66,4200
jan,5,1.33,639,7.66,4200
jan,6,1.33,639,7.66,4200
jan,7,1.33,639,7.66,4200
jan,8,1.33,639,7.66,4200
jan,9,1.33,639,7.66,4200
jan,10,1.33,639,7.66,4200
jan,11,1.33,639,7.66,4200
jan,12,1.33,639,7.66,4200
jan,13,1.33,639,7.66,4200
jan,14,1.33,639,7.66,4200
jan,15,1.33,639,7.66,4200
jan,16,1.33,639,7.66,4200
jan,17,1.33,639,7.66,4200
jan,18,1.33,639,7.66,4800
jan,19,1.33,639,7.66,4800
jan,20,1.33,639,7.66,4800
jan,1,1.28,797,6.76,4020
jan,2,1.28,797,6.76,4030
jan,3,1.28,797,6.76,4100
jan,4,1.28,797,6.76,4100
jan,5,1.28,797,6.76,4100
jan,6,1.28,797,6.76,4100
jan,7,1.28,797,6.76,4100
jan,8,1.28,797,6.76,4100
jan,9,1.28,797,6.76,4200
jan,10,1.28,797,6.76,4200
jan,11,1.28,797,6.76,4300
jan,12,1.28,797,6.76,4300
jan,13,1.28,797,6.76,4300
jan,14,1.28,797,6.76,4400
jan,15,1.28,797,6.76,4300
jan,16,1.28,797,6.76,4300
jan,17,1.28,797,6.76,4200
jan,18,1.28,797,6.76,4300
jan,19,1.28,797,6.76,4300
jan,20,1.28,797,6.76,4250
