month,day,area_sown,yield,inflation,price
march,1,1.42,519,2.94,3400
march,2,1.42,519,2.94,3700
march,3,1.42,519,2.94,3700
march,4,1.42,519,2.94,3700
march,5,1.42,519,2.94,3700
march,6,1.42,519,2.94,3700
march,7,1.42,519,2.94,3700
march,8,1.42,519,2.94,3700
march,9,1.42,519,2.94,3700
march,10,1.42,519,2.94,3700
march,11,1.42,519,2.94,3700
march,12,1.42,519,2.94,3700
march,13,1.42,519,2.94,3700
march,14,1.42,519,2.94,3800
march,15,1.42,519,2.94,3800
march,16,1.42,519,2.94,3800
march,17,1.42,519,2.94,3800
march,18,1.42,519,2.94,3800
march,19,1.42,519,2.94,3800
march,20,1.42,519,2.94,3800
march,1,1.83,511,4.86,3700
march,2,1.83,511,4.86,3700
march,3,1.83,511,4.86,3700
march,4,1.83,511,4.86,3700
march,5,1.83,511,4.86,3700
march,6,1.83,511,4.86,3700
march,7,1.83,511,4.86,3700
march,8,1.83,511,4.86,3700
march,9,1.83,511,4.86,3700
march,10,1.83,511,4.86,3700
march,11,1.83,511,4.86,3700
march,12,1.83,511,4.86,3700
march,13,1.83,511,4.86,3700
march,14,1.83,511,4.86,3700
march,15,1.83,511,4.86,3800
march,16,1.83,511,4.86,3800
march,17,1.83,511,4.86,3800
march,18,1.83,511,4.86,3800
march,19,1.83,511,4.86,3900
march,20,1.83,511,4.86,3900
march,1,1.33,639,7.66,4800
march,2,1.33,639,7.66,4800
march,3,1.33,639,7.66,4800
march,4,1.33,639,7.66,4800
march,5,1.33,639,7.66,4800
march,6,1.33,639,7.66,4800
march,7,1.33,639,7.66,4800
march,8,1.33,639,7.66,4800
march,9,1.33,639,7.66,4800
march,10,1.33,639,7.66,4800
march,11,1.33,639,7.66,4800
march,12,1.33,639,7.66,4800
march,13,1.33,639,7.66,4800
march,14,1.33,639,7.66,4800
march,15,1.33,639,7.66,4800
march,16,1.33,639,7.66,4800
march,17,1.33,639,7.66,4800
march,18,1.33,639,7.66,4800
march,19,1.33,639,7.66,4800
march,20,1.33,639,7.66,4800
march,1,1.28,797,6.76,4400
march,2,1.28,797,6.76,4300
march,3,1.28,797,6.76,4350
march,4,1.28,797,6.76,4200
march,5,1.28,797,6.76,4250
march,6,1.28,797,6.76,4500
march,7,1.28,797,6.76,4400
march,8,1.28,797,6.76,4300
march,9,1.28,797,6.76,4300
march,10,1.28,797,6.76,4500
march,11,1.28,797,6.76,4400
march,12,1.28,797,6.76,4500
march,13,1.28,797,6.76,4400
march,14,1.28,797,6.76,4400
march,15,1.28,797,6.76,4350
march,16,1.28,797,6.76,4300
march,17,1.28,797,6.76,4300
march,18,1.28,797,6.76,4300
march,19,1.28,797,6.76,4350
march,20,1.28,797,6.76,4300
