month,day,area_sown,yield,inflation,price
may,1,1.42,519,2.94,3700
may,2,1.42,519,2.94,3700
may,3,1.42,519,2.94,3700
may,4,1.42,519,2.94,3700
may,5,1.42,519,2.94,3700
may,6,1.42,519,2.94,3700
may,7,1.42,519,2.94,3700
may,8,1.42,519,2.94,3700
may,9,1.42,519,2.94,3700
may,10,1.42,519,2.94,3700
may,11,1.42,519,2.94,3700
may,12,1.42,519,2.94,3700
may,13,1.42,519,2.94,3700
may,14,1.42,519,2.94,3700
may,15,1.42,519,2.94,3700
may,16,1.42,519,2.94,3700
may,17,1.42,519,2.94,3700
may,18,1.42,519,2.94,3700
may,19,1.42,519,2.94,3700
may,20,1.42,519,2.94,3700
may,1,1.83,511,4.86,3900
may,2,1.83,511,4.86,3900
may,3,1.83,511,4.86,3900
may,4,1.83,511,4.86,3900
may,5,1.83,511,4.86,3900
may,6,1.83,511,4.86,3900
may,7,1.83,511,4.86,3900
may,8,1.83,511,4.86,3900
may,9,1.83,511,4.86,3900
may,10,1.83,511,4.86,3900
may,11,1.83,511,4.86,3900
may,12,1.83,511,4.86,3900
may,13,1.83,511,4.86,3900
may,14,1.83,511,4.86,3900
may,15,1.83,511,4.86,3900
may,16,1.83,511,4.86,3900
may,17,1.83,511,4.86,3900
may,18,1.83,511,4.86,3900
may,19,1.83,511,4.86,3900
may,20,1.83,511,4.86,3900
may,1,1.33,639,7.66,5000
may,2,1.33,639,7.66,5000
may,3,1.33,639,7.66,5000
may,4,1.33,639,7.66,5000
may,5,1.33,639,7.66,5000
may,6,1.33,639,7.66,5000
may,7,1.33,639,7.66,5000
may,8,1.33,639,7.66,5000
may,9,1.33,639,7.66,5000
may,10,1.33,639,7.66,5000
may,11,1.33,639,7.66,5000
may,12,1.33,639,7.66,5000
may,13,1.33,639,7.66,5000
may,14,1.33,639,7.66,5000
may,15,1.33,639,7.66,4200
may,16,1.33,639,7.66,4200
may,17,1.33,639,7.66,4200
may,18,1.33,639,7.66,4200
may,19,1.33,639,7.66,4200
may,20,1.33,639,7.66,4100
may,1,1.28,797,6.76,4400
may,2,1.28,797,6.76,4400
may,3,1.28,797,6.76,4350
may,4,1.28,797,6.76,4300
may,5,1.28,797,6.76,4300
may,6,1.28,797,6.76,4300
may,7,1.28,797,6.76,4300
may,8,1.28,797,6.76,4300
may,9,1.28,797,6.76,4300
may,10,1.28,797,6.76,4400
may,11,1.28,797,6.76,4300
may,12,1.28,797,6.76,4400
may,13,1.28,797,6.76,4400
may,14,1.28,797,6.76,4300
may,15,1.28,797,6.76,4300
may,16,1.28,797,6.76,4400
may,17,1.28,797,6.76,4300
may,18,1.28,797,6.76,4300
may,19,1.28,797,6.76,4300
may,20,1.28,797,6.76,4400
