month,day,area_sown,yield,inflation,price
april,1,17.73,556,4.94,3900
april,2,17.73,556,4.94,3850
april,3,17.73,556,4.94,3800
april,4,17.73,556,4.94,3800
april,5,17.73,556,4.94,3800
april,6,17.73,556,4.94,3800
april,7,17.73,556,4.94,3800
april,8,17.73,556,4.94,3800
april,9,17.73,556,4.94,3800
april,10,17.73,556,4.94,3800
april,11,17.73,556,4.94,3700
april,12,17.73,556,4.94,3800
april,13,17.73,556,4.94,3800
april,14,17.73,556,4.94,3800
april,15,17.73,556,4.94,3800
april,16,17.73,556,4.94,3800
april,17,17.73,556,4.94,3750
april,18,17.73,556,4.94,3850
april,19,17.73,556,4.94,3850
april,20,17.73,556,4.94,3800
april,1,14.09,579,2.94,4000
april,2,14.09,579,2.94,4000
april,3,14.09,579,2.94,4000
april,4,14.09,579,2.94,4100
april,5,14.09,579,2.94,4100
april,6,14.09,579,2.94,4200
april,7,14.09,579,2.94,4000
april,8,14.09,579,2.94,4000
april,9,14.09,579,2.94,4000
april,10,14.09,579,2.94,4200
april,11,14.09,579,2.94,4200
april,12,14.09,579,2.94,4200
april,13,14.09,579,2.94,4200
april,14,14.09,579,2.94,4200
april,15,14.09,579,2.94,4000
april,16,14.09,579,2.94,4000
april,17,14.09,579,2.94,4200
april,18,14.09,579,2.94,4000
april,19,14.09,579,2.94,4000
april,20,14.09,579,2.94,4000
april,1,18.97,488,4.86,5000
april,2,18.97,488,4.86,5000
april,3,18.97,488,4.86,5000
april,4,18.97,488,4.86,5000
april,5,18.97,488,4.86,5000
april,6,18.97,488,4.86,5000
april,7,18.97,488,4.86,5000
april,8,18.97,488,4.86,5000
april,9,18.97,488,4.86,5000
april,10,18.97,488,4.86,5000
april,11,18.97,488,4.86,5000
april,12,18.97,488,4.86,5000
april,13,18.97,488,4.86,5000
april,14,18.97,488,4.86,5000
april,15,18.97,488,4.86,5000
april,16,18.97,488,4.86,5000
april,17,18.97,488,4.86,5000
april,18,18.97,488,4.86,5000
april,19,18.97,488,4.86,5000
april,20,18.97,488,4.86,5000
april,1,18.27,400,7.66,4400
april,2,18.27,400,7.66,4400
april,3,18.27,400,7.66,4400
april,4,18.27,400,7.66,4400
april,5,18.27,400,7.66,4350
april,6,18.27,400,7.66,4400
april,7,18.27,400,7.66,4400
april,8,18.27,400,7.66,4400
april,9,18.27,400,7.66,4500
april,10,18.27,400,7.66,4400
april,11,18.27,400,7.66,4400
april,12,18.27,400,7.66,4400
april,13,18.27,400,7.66,4400
april,14,18.27,400,7.66,4400
april,15,18.27,400,7.66,4400
april,16,18.27,400,7.66,4400
april,17,18.27,400,7.66,4400
april,18,18.27,400,7.66,4400
april,19,18.27,400,7.66,4400
april,20,18.27,400,7.66,4400
april,1,17.61,512,6.76,5200
april,2,17.61,512,6.76,5200
april,3,17.61,512,6.76,5400
april,4,17.61,512,6.76,5200
april,5,17.61,512,6.76,5200
april,6,17.61,512,6.76,5200
april,7,17.61,512,6.76,5400
april,8,17.61,512,6.76,5300
april,9,17.61,512,6.76,5200
april,10,17.61,512,6.76,5200
april,11,17.61,512,6.76,5200
april,12,17.61,512,6.76,5200
april,13,17.61,512,6.76,5400
april,14,17.61,512,6.76,5400
april,15,17.61,512,6.76,5400
april,16,17.61,512,6.76,5200
april,17,17.61,512,6.76,5200
april,18,17.61,512,6.76,5200
april,19,17.61,512,6.76,5200
april,20,17.61,512,6.76,5200
