month,day,price
august,1,3800
august,2,3900
august,3,3800
august,4,3800
august,5,3900
august,6,3900
august,7,3900
august,8,3800
august,9,3800
august,10,3800
august,11,3800
august,12,3800
august,13,3900
august,14,3900
august,15,3800
august,16,3800
august,17,3800
august,18,3800
august,19,3800
august,20,3800
august,1,4000
august,2,4000
august,3,4000
august,4,4200
august,5,4000
august,6,4200
august,7,4000
august,8,4000
august,9,4250
august,10,4000
august,11,4300
august,12,4250
august,13,4000
august,14,4250
august,15,4200
august,16,4200
august,17,4200
august,18,4200
august,19,4200
august,20,4200
august,1,4600
august,2,4800
august,3,4750
august,4,4750
august,5,4700
august,6,4800
august,7,4800
august,8,4750
august,9,4800
august,10,4800
august,11,4800
august,12,4600
august,13,4800
august,14,4800
august,15,4800
august,16,4700
august,17,4700
august,18,4800
august,19,4800
august,20,4750
august,1,4200
august,2,4200
august,3,4200
august,4,4200
august,5,4200
august,6,4200
august,7,4200
august,8,4200
august,9,4200
august,10,4200
august,11,4200
august,12,4200
august,13,4200
august,14,4200
august,15,4200
august,16,4200
august,17,4200
august,18,4200
august,19,4200
august,20,4200
august,1,5400
august,2,5350
august,3,5200
august,4,5200
august,5,5300
august,6,5400
august,7,5400
august,8,5350
august,9,5200
august,10,5200
august,11,5300
august,12,5400
august,13,5400
august,14,5350
august,15,5200
august,16,5200
august,17,5300
august,18,5400
august,19,5400
august,20,5300
