month,day,price
feb,1,4009
feb,2,4009
feb,3,4009
feb,4,4009
feb,5,4009
feb,6,4009
feb,7,4009
feb,8,4009
feb,9,4009
feb,10,4009
feb,11,4009
feb,12,4009
feb,13,4009
feb,14,4009
feb,15,4009
feb,16,4009
feb,17,4009
feb,18,4009
feb,19,4009
feb,20,4009
feb,1,4200
feb,2,4050
feb,3,4300
feb,4,4200
feb,5,4200
feb,6,4200
feb,7,4200
feb,8,4200
feb,9,4200
feb,10,4200
feb,11,4100
feb,12,4000
feb,13,4000
feb,14,4000
feb,15,4000
feb,16,4000
feb,17,4000
feb,18,4000
feb,19,4000
feb,20,4000
feb,1,5500
feb,2,5200
feb,3,5500
feb,4,5200
feb,5,5200
feb,6,5350
feb,7,5350
feb,8,5200
feb,9,5200
feb,10,5200
feb,11,5200
feb,12,5200
feb,13,5200
feb,14,5200
feb,15,5200
feb,16,5100
feb,17,5200
feb,18,5200
feb,19,5150
feb,20,5100
feb,1,4500
feb,2,4700
feb,3,4700
feb,4,4500
feb,5,4750
feb,6,4700
feb,7,4700
feb,8,4700
feb,9,4750
feb,10,4800
feb,11,4700
feb,12,4700
feb,13,4700
feb,14,4700
feb,15,4700
feb,16,4700
feb,17,4700
feb,18,4700
feb,19,4700
feb,20,4700
feb,1,5200
feb,2,5200
feb,3,5200
feb,4,5200
feb,5,5200
feb,6,5200
feb,7,5200
feb,8,5200
feb,9,5200
feb,10,5200
feb,11,5200
feb,12,5000
feb,13,5200
feb,14,5200
feb,15,5200
feb,16,5200
feb,17,5200
feb,18,5200
feb,19,5000
feb,20,5100
