month,day,area_sown,yield,inflation,price
jun,1,17.73,556,4.94,3800
jun,2,17.73,556,4.94,3800
jun,3,17.73,556,4.94,3850
jun,4,17.73,556,4.94,3850
jun,5,17.73,556,4.94,3850
jun,6,17.73,556,4.94,3850
jun,7,17.73,556,4.94,3850
jun,8,17.73,556,4.94,3900
jun,9,17.73,556,4.94,3900
jun,10,17.73,556,4.94,3900
jun,11,17.73,556,4.94,3900
jun,12,17.73,556,4.94,3900
jun,13,17.73,556,4.94,3800
jun,14,17.73,556,4.94,3800
jun,15,17.73,556,4.94,3850
jun,16,17.73,556,4.94,3800
jun,17,17.73,556,4.94,3800
jun,18,17.73,556,4.94,3800
jun,19,17.73,556,4.94,3900
jun,20,17.73,556,4.94,3900
jun,1,14.09,579,2.94,4000
jun,2,14.09,579,2.94,4100
jun,3,14.09,579,2.94,4000
jun,4,14.09,579,2.94,4000
jun,5,14.09,579,2.94,4000
jun,6,14.09,579,2.94,4000
jun,7,14.09,579,2.94,4000
jun,8,14.09,579,2.94,4000
jun,9,14.09,579,2.94,4000
jun,10,14.09,579,2.94,4000
jun,11,14.09,579,2.94,4000
jun,12,14.09,579,2.94,4000
jun,13,14.09,579,2.94,4100
jun,14,14.09,579,2.94,4000
jun,15,14.09,579,2.94,4000
jun,16,14.09,579,2.94,4000
jun,17,14.09,579,2.94,4000
jun,18,14.09,579,2.94,4000
jun,19,14.09,579,2.94,4000
jun,20,14.09,579,2.94,4000
jun,1,18.97,488,4.86,5000
jun,2,18.97,488,4.86,5000
jun,3,18.97,488,4.86,5000
jun,4,18.97,488,4.86,5000
jun,5,18.97,488,4.86,5000
jun,6,18.97,488,4.86,5000
jun,7,18.97,488,4.86,5000
jun,8,18.97,488,4.86,5000
jun,9,18.97,488,4.86,5000
jun,10,18.97,488,4.86,5000
jun,11,18.97,488,4.86,5000
jun,12,18.97,488,4.86,5000
jun,13,18.97,488,4.86,5000
jun,14,18.97,488,4.86,5000
jun,15,18.97,488,4.86,5000
jun,16,18.97,488,4.86,5000
jun,17,18.97,488,4.86,5000
jun,18,18.97,488,4.86,5000
jun,19,18.97,488,4.86,5000
jun,20,18.97,488,4.86,5000
jun,1,18.27,400,7.66,4300
jun,2,18.27,400,7.66,4200
jun,3,18.27,400,7.66,4200
jun,4,18.27,400,7.66,4200
jun,5,18.27,400,7.66,4200
jun,6,18.27,400,7.66,4200
jun,7,18.27,400,7.66,4200
jun,8,18.27,400,7.66,4200
jun,9,18.27,400,7.66,4200
jun,10,18.27,400,7.66,4200
jun,11,18.27,400,7.66,4300
jun,12,18.27,400,7.66,4200
jun,13,18.27,400,7.66,4200
jun,14,18.27,400,7.66,4200
jun,15,18.27,400,7.66,4200
jun,16,18.27,400,7.66,4200
jun,17,18.27,400,7.66,4200
jun,18,18.27,400,7.66,4200
jun,19,18.27,400,7.66,4200
jun,20,18.27,400,7.66,4200
jun,1,17.61,512,6.76,5200
jun,2,17.61,512,6.76,5200
jun,3,17.61,512,6.76,5200
jun,4,17.61,512,6.76,5400
jun,5,17.61,512,6.76,5400
jun,6,17.61,512,6.76,5400
jun,7,17.61,512,6.76,5200
jun,8,17.61,512,6.76,5200
jun,9,17.61,512,6.76,5400
jun,10,17.61,512,6.76,5200
jun,11,17.61,512,6.76,5200
jun,12,17.61,512,6.76,5400
jun,13,17.61,512,6.76,5400
jun,14,17.61,512,6.76,5200
jun,15,17.61,512,6.76,5200
jun,16,17.61,512,6.76,5200
jun,17,17.61,512,6.76,5200
jun,18,17.61,512,6.76,5200
jun,19,17.61,512,6.76,5200
jun,20,17.61,512,6.76,5200
