month,day,area_sown,yield,inflation,price
march,1,17.73,556,4.94,4009
march,2,17.73,556,4.94,3969
march,3,17.73,556,4.94,4009
march,4,17.73,556,4.94,4009
march,5,17.73,556,4.94,4009
march,6,17.73,556,4.94,3969
march,7,17.73,556,4.94,4009
march,8,17.73,556,4.94,4009
march,9,17.73,556,4.94,4009
march,10,17.73,556,4.94,4009
march,11,17.73,556,4.94,4009
march,12,17.73,556,4.94,4009
march,13,17.73,556,4.94,4000
march,14,17.73,556,4.94,3900
march,15,17.73,556,4.94,3900
march,16,17.73,556,4.94,4010
march,17,17.73,556,4.94,3900
march,18,17.73,556,4.94,3800
march,19,17.73,556,4.94,3800
march,20,17.73,556,4.94,3800
march,1,14.09,579,2.94,4100
march,2,14.09,579,2.94,4000
march,3,14.09,579,2.94,4000
march,4,14.09,579,2.94,4000
march,5,14.09,579,2.94,4000
march,6,14.09,579,2.94,4000
march,7,14.09,579,2.94,4000
march,8,14.09,579,2.94,4000
march,9,14.09,579,2.94,4000
march,10,14.09,579,2.94,4000
march,11,14.09,579,2.94,4000
march,12,14.09,579,2.94,4000
march,13,14.09,579,2.94,4000
march,14,14.09,579,2.94,4000
march,15,14.09,579,2.94,4000
march,16,14.09,579,2.94,4000
march,17,14.09,579,2.94,4000
march,18,14.09,579,2.94,4000
march,19,14.09,579,2.94,4000
march,20,14.09,579,2.94,4000
march,1,18.97,488,4.86,5100
march,2,18.97,488,4.86,5100
march,3,18.97,488,4.86,5100
march,4,18.97,488,4.86,5000
march,5,18.97,488,4.86,5000
march,6,18.97,488,4.86,5100
march,7,18.97,488,4.86,5000
march,8,18.97,488,4.86,5000
march,9,18.97,488,4.86,5000
march,10,18.97,488,4.86,5000
march,11,18.97,488,4.86,5000
march,12,18.97,488,4.86,5100
march,13,18.97,488,4.86,5000
march,14,18.97,488,4.86,5000
march,15,18.97,488,4.86,5000
march,16,18.97,488,4.86,5000
march,17,18.97,488,4.86,5000
march,18,18.97,488,4.86,5000
march,19,18.97,488,4.86,5000
march,20,18.97,488,4.86,5000
march,1,18.27,400,7.66,4700
march,2,18.27,400,7.66,4600
march,3,18.27,400,7.66,4500
march,4,18.27,400,7.66,4500
march,5,18.27,400,7.66,4500
march,6,18.27,400,7.66,4600
march,7,18.27,400,7.66,4650
march,8,18.27,400,7.66,4600
march,9,18.27,400,7.66,4650
march,10,18.27,400,7.66,4500
march,11,18.27,400,7.66,4600
march,12,18.27,400,7.66,4600
march,13,18.27,400,7.66,4650
march,14,18.27,400,7.66,4600
march,15,18.27,400,7.66,4500
march,16,18.27,400,7.66,4600
march,17,18.27,400,7.66,4500
march,18,18.27,400,7.66,4500
march,19,18.27,400,7.66,4550
march,20,18.27,400,7.66,4600
march,1,17.61,512,6.76,5000
march,2,17.61,512,6.76,5000
march,3,17.61,512,6.76,5000
march,4,17.61,512,6.76,5000
march,5,17.61,512,6.76,4900
march,6,17.61,512,6.76,5000
march,7,17.61,512,6.76,5000
march,8,17.61,512,6.76,5000
march,9,17.61,512,6.76,5000
march,10,17.61,512,6.76,5000
march,11,17.61,512,6.76,5100
march,12,17.61,512,6.76,5000
march,13,17.61,512,6.76,5000
march,14,17.61,512,6.76,5000
march,15,17.61,512,6.76,5000
march,16,17.61,512,6.76,5200
march,17,17.61,512,6.76,5100
march,18,17.61,512,6.76,5100
march,19,17.61,512,6.76,5200
march,20,17.61,512,6.76,5200
