month,day,price
may,1,3800
may,2,3800
may,3,3850
may,4,3850
may,5,3850
may,6,3850
may,7,3850
may,8,3900
may,9,3900
may,10,3900
may,11,3900
may,12,3900
may,13,3800
may,14,3800
may,15,3850
may,16,3800
may,17,3800
may,18,3800
may,19,3900
may,20,3900
may,1,4000
may,2,4000
may,3,4000
may,4,4000
may,5,4100
may,6,4000
may,7,4000
may,8,4000
may,9,4100
may,10,4100
may,11,4000
may,12,4000
may,13,4000
may,14,4000
may,15,4000
may,16,4000
may,17,4000
may,18,4000
may,19,4000
may,20,4000
may,1,5000
may,2,5000
may,3,5000
may,4,5000
may,5,5000
may,6,4600
may,7,5000
may,8,5000
may,9,5000
may,10,5000
may,11,5000
may,12,5200
may,13,5000
may,14,5000
may,15,5000
may,16,5000
may,17,5200
may,18,5000
may,19,4700
may,20,5000
may,1,4400
may,2,4400
may,3,4350
may,4,4400
may,5,4350
may,6,4400
may,7,4400
may,8,4200
may,9,4400
may,10,4300
may,11,4300
may,12,4400
may,13,4400
may,14,4400
may,15,4400
may,16,4400
may,17,4400
may,18,4400
may,19,4400
may,20,4400
may,1,5400
may,2,5400
may,3,5500
may,4,5450
may,5,5200
may,6,5600
may,7,5400
may,8,5200
may,9,5200
may,10,5400
may,11,5200
may,12,5200
may,13,5400
may,14,5400
may,15,5400
may,16,5400
may,17,5400
may,18,5400
may,19,5400
may,20,5400
