month,day,price
oct,1,3800
oct,2,3800
oct,3,3800
oct,4,3800
oct,5,3900
oct,6,3800
oct,7,3800
oct,8,3800
oct,9,3800
oct,10,3800
oct,11,3800
oct,12,3700
oct,13,3700
oct,14,3700
oct,15,3700
oct,16,3800
oct,17,3850
oct,18,3800
oct,19,3800
oct,20,3750
oct,1,4250
oct,2,4250
oct,3,4250
oct,4,4250
oct,5,4250
oct,6,4250
oct,7,4200
oct,8,4250
oct,9,4200
oct,10,4250
oct,11,4250
oct,12,4200
oct,13,4250
oct,14,4300
oct,15,4250
oct,16,4250
oct,17,4250
oct,18,4200
oct,19,4300
oct,20,4350
oct,1,4600
oct,2,4800
oct,3,4600
oct,4,4600
oct,5,4500
oct,6,4400
oct,7,4500
oct,8,4600
oct,9,4400
oct,10,4600
oct,11,4200
oct,12,4200
oct,13,4200
oct,14,4200
oct,15,4600
oct,16,5200
oct,17,5000
oct,18,4260
oct,19,3950
oct,20,4100
oct,1,4200
oct,2,4200
oct,3,4200
oct,4,4200
oct,5,4200
oct,6,4200
oct,7,4200
oct,8,4200
oct,9,4200
oct,10,4300
oct,11,4200
oct,12,4200
oct,13,4200
oct,14,4200
oct,15,4200
oct,16,4200
oct,17,4500
oct,18,4500
oct,19,4500
oct,20,4200
oct,1,5400
oct,2,5350
oct,3,5200
oct,4,5200
oct,5,5300
oct,6,5400
oct,7,5400
oct,8,5350
oct,9,5200
oct,10,5200
oct,11,5300
oct,12,5400
oct,13,5400
oct,14,5350
oct,15,5200
oct,16,5200
oct,17,5300
oct,18,5400
oct,19,5400
oct,20,5300
