month,day,price
sept,1,3800
sept,2,3800
sept,3,3800
sept,4,3800
sept,5,3800
sept,6,3800
sept,7,3850
sept,8,3800
sept,9,3800
sept,10,3800
sept,11,3900
sept,12,3800
sept,13,3800
sept,14,3900
sept,15,3800
sept,16,3800
sept,17,3800
sept,18,3800
sept,19,3800
sept,20,3800
sept,1,4200
sept,2,4200
sept,3,4200
sept,4,4200
sept,5,4200
sept,6,4230
sept,7,4200
sept,8,4200
sept,9,4200
sept,10,4200
sept,11,4200
sept,12,4200
sept,13,4200
sept,14,4250
sept,15,4250
sept,16,4200
sept,17,4200
sept,18,4250
sept,19,4250
sept,20,4200
sept,1,4600
sept,2,4800
sept,3,4600
sept,4,4600
sept,5,4500
sept,6,4400
sept,7,4500
sept,8,4600
sept,9,4400
sept,10,4600
sept,11,4200
sept,12,4200
sept,13,4200
sept,14,4200
sept,15,4600
sept,16,5200
sept,17,5000
sept,18,4260
sept,19,3950
sept,20,4100
sept,1,4200
sept,2,4200
sept,3,4200
sept,4,4200
sept,5,4200
sept,6,4200
sept,7,4200
sept,8,4200
sept,9,4200
sept,10,4200
sept,11,4200
sept,12,4200
sept,13,4200
sept,14,4200
sept,15,4200
sept,16,4200
sept,17,4200
sept,18,4200
sept,19,4200
sept,20,4000
sept,1,5400
sept,2,5350
sept,3,5200
sept,4,5200
sept,5,5300
sept,6,5400
sept,7,5400
sept,8,5350
sept,9,5200
sept,10,5200
sept,11,5300
sept,12,5400
sept,13,5400
sept,14,5350
sept,15,5200
sept,16,5200
sept,17,5300
sept,18,5400
sept,19,5400
sept,20,5300
