month,day,area_sown,yield,inflation,price
april,1,14.09,579,2.94,4100
april,2,14.09,579,2.94,4100
april,3,14.09,579,2.94,4100
april,4,14.09,579,2.94,4100
april,5,14.09,579,2.94,4100
april,6,14.09,579,2.94,4100
april,7,14.09,579,2.94,4100
april,8,14.09,579,2.94,4100
april,9,14.09,579,2.94,4100
april,10,14.09,579,2.94,4100
april,11,14.09,579,2.94,4100
april,12,14.09,579,2.94,4100
april,13,14.09,579,2.94,4100
april,14,14.09,579,2.94,4100
april,15,14.09,579,2.94,4100
april,16,14.09,579,2.94,4100
april,17,14.09,579,2.94,4100
april,18,14.09,579,2.94,4100
april,19,14.09,579,2.94,4100
april,20,14.09,579,2.94,4100
april,1,18.97,488,4.86,4100
april,2,18.97,488,4.86,4100
april,3,18.97,488,4.86,4100
april,4,18.97,488,4.86,4100
april,5,18.97,488,4.86,4100
april,6,18.97,488,4.86,4100
april,7,18.97,488,4.86,4100
april,8,18.97,488,4.86,4100
april,9,18.97,488,4.86,4100
april,10,18.97,488,4.86,4100
april,11,18.97,488,4.86,4100
april,12,18.97,488,4.86,4100
april,13,18.97,488,4.86,4100
april,14,18.97,488,4.86,4100
april,15,18.97,488,4.86,4100
april,16,18.97,488,4.86,4100
april,17,18.97,488,4.86,4100
april,18,18.97,488,4.86,4100
april,19,18.97,488,4.86,4100
april,20,18.97,488,4.86,4100
april,1,18.27,400,7.66,4320
april,2,18.27,400,7.66,4320
april,3,18.27,400,7.66,4320
april,4,18.27,400,7.66,4320
april,5,18.27,400,7.66,4320
april,6,18.27,400,7.66,4320
april,7,18.27,400,7.66,4320
april,8,18.27,400,7.66,4320
april,9,18.27,400,7.66,4320
april,10,18.27,400,7.66,4320
april,11,18.27,400,7.66,4320
april,12,18.27,400,7.66,4320
april,13,18.27,400,7.66,4320
april,14,18.27,400,7.66,4320
april,15,18.27,400,7.66,4320
april,16,18.27,400,7.66,4320
april,17,18.27,400,7.66,4320
april,18,18.27,400,7.66,4320
april,19,18.27,400,7.66,4320
april,20,18.27,400,7.66,4320
april,1,17.61,512,6.76,5300
april,2,17.61,512,6.76,5300
april,3,17.61,512,6.76,5300
april,4,17.61,512,6.76,5300
april,5,17.61,512,6.76,5300
april,6,17.61,512,6.76,5300
april,7,17.61,512,6.76,5300
april,8,17.61,512,6.76,5300
april,9,17.61,512,6.76,5300
april,10,17.61,512,6.76,5300
april,11,17.61,512,6.76,5300
april,12,17.61,512,6.76,5300
april,13,17.61,512,6.76,5300
april,14,17.61,512,6.76,5300
april,15,17.61,512,6.76,5300
april,16,17.61,512,6.76,5300
april,17,17.61,512,6.76,5300
april,18,17.61,512,6.76,5300
april,19,17.61,512,6.76,5300
april,20,17.61,512,6.76,5300
