month,day,area_sown,yield,inflation,price
august,1,14.09,579,2.94,4100
august,2,14.09,579,2.94,4100
august,3,14.09,579,2.94,4100
august,4,14.09,579,2.94,4100
august,5,14.09,579,2.94,4100
august,6,14.09,579,2.94,4100
august,7,14.09,579,2.94,4100
august,8,14.09,579,2.94,4100
august,9,14.09,579,2.94,4100
august,10,14.09,579,2.94,4100
august,11,14.09,579,2.94,4100
august,12,14.09,579,2.94,4100
august,13,14.09,579,2.94,4100
august,14,14.09,579,2.94,4100
august,15,14.09,579,2.94,4100
august,16,14.09,579,2.94,4100
august,17,14.09,579,2.94,4100
august,18,14.09,579,2.94,4100
august,19,14.09,579,2.94,4100
august,20,14.09,579,2.94,4100
august,1,18.97,488,4.86,4100
august,2,18.97,488,4.86,4100
august,3,18.97,488,4.86,4100
august,4,18.97,488,4.86,4100
august,5,18.97,488,4.86,4100
august,6,18.97,488,4.86,4100
august,7,18.97,488,4.86,4100
august,8,18.97,488,4.86,4100
august,9,18.97,488,4.86,4100
august,10,18.97,488,4.86,4100
august,11,18.97,488,4.86,4100
august,12,18.97,488,4.86,4100
august,13,18.97,488,4.86,4100
august,14,18.97,488,4.86,4100
august,15,18.97,488,4.86,4100
august,16,18.97,488,4.86,4100
august,17,18.97,488,4.86,4100
august,18,18.97,488,4.86,4100
august,19,18.97,488,4.86,4100
august,20,18.97,488,4.86,4100
august,1,18.27,400,7.66,4320
august,2,18.27,400,7.66,4320
august,3,18.27,400,7.66,4320
august,4,18.27,400,7.66,4320
august,5,18.27,400,7.66,4320
august,6,18.27,400,7.66,4320
august,7,18.27,400,7.66,4320
august,8,18.27,400,7.66,4320
august,9,18.27,400,7.66,4320
august,10,18.27,400,7.66,4320
august,11,18.27,400,7.66,4320
august,12,18.27,400,7.66,4320
august,13,18.27,400,7.66,4320
august,14,18.27,400,7.66,4320
august,15,18.27,400,7.66,4320
august,16,18.27,400,7.66,4320
august,17,18.27,400,7.66,4320
august,18,18.27,400,7.66,4320
august,19,18.27,400,7.66,4320
august,20,18.27,400,7.66,4320
august,1,17.61,512,6.76,5300
august,2,17.61,512,6.76,5300
august,3,17.61,512,6.76,5300
august,4,17.61,512,6.76,5300
august,5,17.61,512,6.76,5300
august,6,17.61,512,6.76,5300
august,7,17.61,512,6.76,5300
august,8,17.61,512,6.76,5300
august,9,17.61,512,6.76,5300
august,10,17.61,512,6.76,5300
august,11,17.61,512,6.76,5300
august,12,17.61,512,6.76,5300
august,13,17.61,512,6.76,5300
august,14,17.61,512,6.76,5300
august,15,17.61,512,6.76,5300
august,16,17.61,512,6.76,5300
august,17,17.61,512,6.76,5300
august,18,17.61,512,6.76,5300
august,19,17.61,512,6.76,5300
august,20,17.61,512,6.76,5300
