month,day,area_sown,yield,inflation,price
dec,1,17.73,556,4.94,4059
dec,2,17.73,556,4.94,4059
dec,3,17.73,556,4.94,4059
dec,4,17.73,556,4.94,4059
dec,5,17.73,556,4.94,4059
dec,6,17.73,556,4.94,4059
dec,7,17.73,556,4.94,4059
dec,8,17.73,556,4.94,4075
dec,9,17.73,556,4.94,4059
dec,10,17.73,556,4.94,4059
dec,11,17.73,556,4.94,4059
dec,12,17.73,556,4.94,4100
dec,13,17.73,556,4.94,4100
dec,14,17.73,556,4.94,4100
dec,15,17.73,556,4.94,4100
dec,16,17.73,556,4.94,4100
dec,17,17.73,556,4.94,4100
dec,18,17.73,556,4.94,4100
dec,19,17.73,556,4.94,4100
dec,20,17.73,556,4.94,4100
dec,1,14.09,579,2.94,4100
dec,2,14.09,579,2.94,4100
dec,3,14.09,579,2.94,4100
dec,4,14.09,579,2.94,4100
dec,5,14.09,579,2.94,4100
dec,6,14.09,579,2.94,4100
dec,7,14.09,579,2.94,4100
dec,8,14.09,579,2.94,4100
dec,9,14.09,579,2.94,4100
dec,10,14.09,579,2.94,4100
dec,11,14.09,579,2.94,4100
dec,12,14.09,579,2.94,4100
dec,13,14.09,579,2.94,4100
dec,14,14.09,579,2.94,4100
dec,15,14.09,579,2.94,4100
dec,16,14.09,579,2.94,4100
dec,17,14.09,579,2.94,4100
dec,18,14.09,579,2.94,4100
dec,19,14.09,579,2.94,4100
dec,20,14.09,579,2.94,4100
dec,1,18.97,488,4.86,4100
dec,2,18.97,488,4.86,4100
dec,3,18.97,488,4.86,4100
dec,4,18.97,488,4.86,4100
dec,5,18.97,488,4.86,4100
dec,6,18.97,488,4.86,4100
dec,7,18.97,488,4.86,4100
dec,8,18.97,488,4.86,4100
dec,9,18.97,488,4.86,4100
dec,10,18.97,488,4.86,4100
dec,11,18.97,488,4.86,4100
dec,12,18.97,488,4.86,4100
dec,13,18.97,488,4.86,4100
dec,14,18.97,488,4.86,4100
dec,15,18.97,488,4.86,4100
dec,16,18.97,488,4.86,4100
dec,17,18.97,488,4.86,4100
dec,18,18.97,488,4.86,4100
dec,19,18.97,488,4.86,4100
dec,20,18.97,488,4.86,4100
dec,1,18.27,400,7.66,5450
dec,2,18.27,400,7.66,5450
dec,3,18.27,400,7.66,5450
dec,4,18.27,400,7.66,5450
dec,5,18.27,400,7.66,5450
dec,6,18.27,400,7.66,5450
dec,7,18.27,400,7.66,5450
dec,8,18.27,400,7.66,5450
dec,9,18.27,400,7.66,5450
dec,10,18.27,400,7.66,4320
dec,11,18.27,400,7.66,5450
dec,12,18.27,400,7.66,5450
dec,13,18.27,400,7.66,5450
dec,14,18.27,400,7.66,5450
dec,15,18.27,400,7.66,5450
dec,16,18.27,400,7.66,5450
dec,17,18.27,400,7.66,5450
dec,18,18.27,400,7.66,5450
dec,19,18.27,400,7.66,5450
dec,20,18.27,400,7.66,5450
dec,1,17.61,512,6.76,5300
dec,2,17.61,512,6.76,5300
dec,3,17.61,512,6.76,5300
dec,4,17.61,512,6.76,5300
dec,5,17.61,512,6.76,5300
dec,6,17.61,512,6.76,5300
dec,7,17.61,512,6.76,5300
dec,8,17.61,512,6.76,5300
dec,9,17.61,512,6.76,5300
dec,10,17.61,512,6.76,5300
dec,11,17.61,512,6.76,5300
dec,12,17.61,512,6.76,5300
dec,13,17.61,512,6.76,5300
dec,14,17.61,512,6.76,5300
dec,15,17.61,512,6.76,5300
dec,16,17.61,512,6.76,5300
dec,17,17.61,512,6.76,5300
dec,18,17.61,512,6.76,5300
dec,19,17.61,512,6.76,5300
dec,20,17.61,512,6.76,5300
