month,day,area_sown,yield,inflation,price
feb,1,17.73,556,4.94,4100
feb,2,17.73,556,4.94,4100
feb,3,17.73,556,4.94,4100
feb,4,17.73,556,4.94,4100
feb,5,17.73,556,4.94,4100
feb,6,17.73,556,4.94,4100
feb,7,17.73,556,4.94,4100
feb,8,17.73,556,4.94,4100
feb,9,17.73,556,4.94,4100
feb,10,17.73,556,4.94,4100
feb,11,17.73,556,4.94,4100
feb,12,17.73,556,4.94,4100
feb,13,17.73,556,4.94,4100
feb,14,17.73,556,4.94,4100
feb,15,17.73,556,4.94,4100
feb,16,17.73,556,4.94,4100
feb,17,17.73,556,4.94,4100
feb,18,17.73,556,4.94,4100
feb,19,17.73,556,4.94,4100
feb,20,17.73,556,4.94,4100
feb,1,14.09,579,2.94,4100
feb,2,14.09,579,2.94,4100
feb,3,14.09,579,2.94,4100
feb,4,14.09,579,2.94,4100
feb,5,14.09,579,2.94,4100
feb,6,14.09,579,2.94,4100
feb,7,14.09,579,2.94,4100
feb,8,14.09,579,2.94,4100
feb,9,14.09,579,2.94,4100
feb,10,14.09,579,2.94,4100
feb,11,14.09,579,2.94,4100
feb,12,14.09,579,2.94,4100
feb,13,14.09,579,2.94,4100
feb,14,14.09,579,2.94,4100
feb,15,14.09,579,2.94,4100
feb,16,14.09,579,2.94,4100
feb,17,14.09,579,2.94,4100
feb,18,14.09,579,2.94,4100
feb,19,14.09,579,2.94,4100
feb,20,14.09,579,2.94,4100
feb,1,18.97,488,4.86,4320
feb,2,18.97,488,4.86,4320
feb,3,18.97,488,4.86,4320
feb,4,18.97,488,4.86,4320
feb,5,18.97,488,4.86,4320
feb,6,18.97,488,4.86,4320
feb,7,18.97,488,4.86,4320
feb,8,18.97,488,4.86,4320
feb,9,18.97,488,4.86,4320
feb,10,18.97,488,4.86,4320
feb,11,18.97,488,4.86,4320
feb,12,18.97,488,4.86,4320
feb,13,18.97,488,4.86,4320
feb,14,18.97,488,4.86,4320
feb,15,18.97,488,4.86,4320
feb,16,18.97,488,4.86,4320
feb,17,18.97,488,4.86,4320
feb,18,18.97,488,4.86,4320
feb,19,18.97,488,4.86,4320
feb,20,18.97,488,4.86,4320
feb,1,18.27,400,7.66,5300
feb,2,18.27,400,7.66,5300
feb,3,18.27,400,7.66,5300
feb,4,18.27,400,7.66,5300
feb,5,18.27,400,7.66,5300
feb,6,18.27,400,7.66,5300
feb,7,18.27,400,7.66,5300
feb,8,18.27,400,7.66,5300
feb,9,18.27,400,7.66,5300
feb,10,18.27,400,7.66,5300
feb,11,18.27,400,7.66,5300
feb,12,18.27,400,7.66,5300
feb,13,18.27,400,7.66,5300
feb,14,18.27,400,7.66,5300
feb,15,18.27,400,7.66,5300
feb,16,18.27,400,7.66,5300
feb,17,18.27,400,7.66,5300
feb,18,18.27,400,7.66,5300
feb,19,18.27,400,7.66,5300
feb,20,18.27,400,7.66,5300
feb,1,17.61,512,6.76,5395
feb,2,17.61,512,6.76,5395
feb,3,17.61,512,6.76,4395
feb,4,17.61,512,6.76,5395
feb,5,17.61,512,6.76,5395
feb,6,17.61,512,6.76,5395
feb,7,17.61,512,6.76,5395
feb,8,17.61,512,6.76,5395
feb,9,17.61,512,6.76,5395
feb,10,17.61,512,6.76,5395
feb,11,17.61,512,6.76,5395
feb,12,17.61,512,6.76,4395
feb,13,17.61,512,6.76,5395
feb,14,17.61,512,6.76,5395
feb,15,17.61,512,6.76,5395
feb,16,17.61,512,6.76,5395
feb,17,17.61,512,6.76,5395
feb,18,17.61,512,6.76,5395
feb,19,17.61,512,6.76,5362.320261
feb,20,17.61,512,6.76,5370.576195
