month ,day ,price
jan,1,4050
jan,2,4050
jan,3,4050
jan,4,4050
jan,5,4050
jan,6,4050
jan,7,4050
jan,8,4050
jan,9,4050
jan,10,4050
jan,11,4050
jan,12,4050
jan,13,4050
jan,14,4050
jan,15,4050
jan,16,4050
jan,17,4050
jan,18,4050
jan,19,4050
jan,20,4050
jan,1,4100
jan,2,4100
jan,3,4100
jan,4,4100
jan,5,4100
jan,6,4100
jan,7,4100
jan,8,4100
jan,9,4100
jan,10,4100
jan,11,4100
jan,12,4100
jan,13,4100
jan,14,4100
jan,15,4100
jan,16,4100
jan,17,4100
jan,18,4100
jan,19,4100
jan,20,4100
jan,1,4100
jan,2,4100
jan,3,4100
jan,4,4100
jan,5,4100
jan,6,4100
jan,7,4100
jan,8,4100
jan,9,4100
jan,10,4100
jan,11,4100
jan,12,4100
jan,13,4100
jan,14,4100
jan,15,4100
jan,16,4100
jan,17,4100
jan,18,4100
jan,19,4100
jan,20,4100
jan,1,4320
jan,2,4320
jan,3,4320
jan,4,4320
jan,5,4320
jan,6,4320
jan,7,4320
jan,8,4320
jan,9,4320
jan,10,4320
jan,11,4320
jan,12,4320
jan,13,4320
jan,14,4320
jan,15,4320
jan,16,4320
jan,17,4320
jan,18,4320
jan,19,4320
jan,20,4320
jan,1,5300
jan,2,5300
jan,3,5300
jan,4,5300
jan,5,5300
jan,6,5300
jan,7,5300
jan,8,5300
jan,9,5300
jan,10,5300
jan,11,5300
jan,12,5300
jan,13,5300
jan,14,5300
jan,15,5300
jan,16,5300
jan,17,5300
jan,18,5300
jan,19,5300
jan,20,5300
jan,1,5498
jan,2,5498
jan,3,5498
jan,4,4400
jan,5,5498
jan,6,5498
jan,7,5395
jan,8,5286
jan,9,5286
jan,10,5395
jan,11,5313
jan,12,5395
jan,13,5395
jan,14,5395
jan,15,5395
jan,16,5395
jan,17,5387.4
jan,18,5392.241176
jan,19,5397.082353
jan,20,5401.923529
