month,day,area_sown,yield,inflation,price
march,1,17.73,556,4.94,4100
march,2,17.73,556,4.94,4100
march,3,17.73,556,4.94,4100
march,4,17.73,556,4.94,4100
march,5,17.73,556,4.94,4100
march,6,17.73,556,4.94,4100
march,7,17.73,556,4.94,4100
march,8,17.73,556,4.94,4100
march,9,17.73,556,4.94,4100
march,10,17.73,556,4.94,4100
march,11,17.73,556,4.94,4100
march,12,17.73,556,4.94,4100
march,13,17.73,556,4.94,4100
march,14,17.73,556,4.94,4100
march,15,17.73,556,4.94,4100
march,16,17.73,556,4.94,4100
march,17,17.73,556,4.94,4100
march,18,17.73,556,4.94,4100
march,19,17.73,556,4.94,4100
march,20,17.73,556,4.94,4100
march,1,14.09,579,2.94,4100
march,2,14.09,579,2.94,4100
march,3,14.09,579,2.94,4100
march,4,14.09,579,2.94,4100
march,5,14.09,579,2.94,4100
march,6,14.09,579,2.94,4100
march,7,14.09,579,2.94,4100
march,8,14.09,579,2.94,4100
march,9,14.09,579,2.94,4100
march,10,14.09,579,2.94,4100
march,11,14.09,579,2.94,4100
march,12,14.09,579,2.94,4100
march,13,14.09,579,2.94,4100
march,14,14.09,579,2.94,4100
march,15,14.09,579,2.94,4100
march,16,14.09,579,2.94,4100
march,17,14.09,579,2.94,4100
march,18,14.09,579,2.94,4100
march,19,14.09,579,2.94,4100
march,20,14.09,579,2.94,4100
march,1,18.97,488,4.86,4320
march,2,18.97,488,4.86,4320
march,3,18.97,488,4.86,4320
march,4,18.97,488,4.86,4320
march,5,18.97,488,4.86,4320
march,6,18.97,488,4.86,4320
march,7,18.97,488,4.86,4320
march,8,18.97,488,4.86,4320
march,9,18.97,488,4.86,4320
march,10,18.97,488,4.86,4320
march,11,18.97,488,4.86,4320
march,12,18.97,488,4.86,4320
march,13,18.97,488,4.86,4320
march,14,18.97,488,4.86,4320
march,15,18.97,488,4.86,4320
march,16,18.97,488,4.86,4320
march,17,18.97,488,4.86,4320
march,18,18.97,488,4.86,4320
march,19,18.97,488,4.86,4320
march,20,18.97,488,4.86,4320
march,1,18.27,400,7.66,5300
march,2,18.27,400,7.66,5300
march,3,18.27,400,7.66,5300
march,4,18.27,400,7.66,5300
march,5,18.27,400,7.66,5300
march,6,18.27,400,7.66,5300
march,7,18.27,400,7.66,5300
march,8,18.27,400,7.66,5300
march,9,18.27,400,7.66,5300
march,10,18.27,400,7.66,5300
march,11,18.27,400,7.66,5300
march,12,18.27,400,7.66,5300
march,13,18.27,400,7.66,5300
march,14,18.27,400,7.66,5300
march,15,18.27,400,7.66,5300
march,16,18.27,400,7.66,5300
march,17,18.27,400,7.66,5300
march,18,18.27,400,7.66,5300
march,19,18.27,400,7.66,5300
march,20,18.27,400,7.66,5300
march,1,17.61,512,6.76,5395
march,2,17.61,512,6.76,5395
march,3,17.61,512,6.76,5395
march,4,17.61,512,6.76,5395
march,5,17.61,512,6.76,5395
march,6,17.61,512,6.76,5395
march,7,17.61,512,6.76,5395
march,8,17.61,512,6.76,5395
march,9,17.61,512,6.76,5395
march,10,17.61,512,6.76,5395
march,11,17.61,512,6.76,5395
march,12,17.61,512,6.76,5395
march,13,17.61,512,6.76,5395
march,14,17.61,512,6.76,5395
march,15,17.61,512,6.76,5395
march,16,17.61,512,6.76,5395
march,17,17.61,512,6.76,5395
march,18,17.61,512,6.76,5395
march,19,17.61,512,6.76,5395
march,20,17.61,512,6.76,5395
