month,day,area_sown,yield,inflation,price
sept,1,14.09,579,2.94,4100
sept,2,14.09,579,2.94,4100
sept,3,14.09,579,2.94,4100
sept,4,14.09,579,2.94,4100
sept,5,14.09,579,2.94,4100
sept,6,14.09,579,2.94,4100
sept,7,14.09,579,2.94,4100
sept,8,14.09,579,2.94,4100
sept,9,14.09,579,2.94,4100
sept,10,14.09,579,2.94,4100
sept,11,14.09,579,2.94,4100
sept,12,14.09,579,2.94,4100
sept,13,14.09,579,2.94,4100
sept,14,14.09,579,2.94,4100
sept,15,14.09,579,2.94,4100
sept,16,14.09,579,2.94,4100
sept,17,14.09,579,2.94,4100
sept,18,14.09,579,2.94,4100
sept,19,14.09,579,2.94,4100
sept,20,14.09,579,2.94,4100
sept,1,18.97,488,4.86,4100
sept,2,18.97,488,4.86,4100
sept,3,18.97,488,4.86,4100
sept,4,18.97,488,4.86,4100
sept,5,18.97,488,4.86,4100
sept,6,18.97,488,4.86,4100
sept,7,18.97,488,4.86,4100
sept,8,18.97,488,4.86,4100
sept,9,18.97,488,4.86,4100
sept,10,18.97,488,4.86,4100
sept,11,18.97,488,4.86,4100
sept,12,18.97,488,4.86,4100
sept,13,18.97,488,4.86,4100
sept,14,18.97,488,4.86,4100
sept,15,18.97,488,4.86,4100
sept,16,18.97,488,4.86,4100
sept,17,18.97,488,4.86,4100
sept,18,18.97,488,4.86,4100
sept,19,18.97,488,4.86,4100
sept,20,18.97,488,4.86,4100
sept,1,18.27,400,7.66,4320
sept,2,18.27,400,7.66,4320
sept,3,18.27,400,7.66,4320
sept,4,18.27,400,7.66,4320
sept,5,18.27,400,7.66,4320
sept,6,18.27,400,7.66,4320
sept,7,18.27,400,7.66,4320
sept,8,18.27,400,7.66,4320
sept,9,18.27,400,7.66,4320
sept,10,18.27,400,7.66,4320
sept,11,18.27,400,7.66,4320
sept,12,18.27,400,7.66,4320
sept,13,18.27,400,7.66,4320
sept,14,18.27,400,7.66,4320
sept,15,18.27,400,7.66,4320
sept,16,18.27,400,7.66,4320
sept,17,18.27,400,7.66,4320
sept,18,18.27,400,7.66,4320
sept,19,18.27,400,7.66,4320
sept,20,18.27,400,7.66,4320
sept,1,17.61,512,6.76,5300
sept,2,17.61,512,6.76,5300
sept,3,17.61,512,6.76,5300
sept,4,17.61,512,6.76,5300
sept,5,17.61,512,6.76,5300
sept,6,17.61,512,6.76,5300
sept,7,17.61,512,6.76,5300
sept,8,17.61,512,6.76,5300
sept,9,17.61,512,6.76,5300
sept,10,17.61,512,6.76,5300
sept,11,17.61,512,6.76,5300
sept,12,17.61,512,6.76,5300
sept,13,17.61,512,6.76,5300
sept,14,17.61,512,6.76,5300
sept,15,17.61,512,6.76,5300
sept,16,17.61,512,6.76,5300
sept,17,17.61,512,6.76,5300
sept,18,17.61,512,6.76,5300
sept,19,17.61,512,6.76,5300
sept,20,17.61,512,6.76,5300
