month,day,area_sown,yield,inflation,price
dec,1,0,0,4.94,4400
dec,2,0,0,4.94,4350
dec,3,0,0,4.94,4250
dec,4,0,0,4.94,4300
dec,5,0,0,4.94,4350
dec,6,0,0,4.94,4250
dec,7,0,0,4.94,4300
dec,8,0,0,4.94,4200
dec,9,0,0,4.94,4250
dec,10,0,0,4.94,4300
dec,11,0,0,4.94,4280
dec,12,0,0,4.94,4250
dec,13,0,0,4.94,4300
dec,14,0,0,4.94,4350
dec,15,0,0,4.94,4300
dec,16,0,0,4.94,4400
dec,17,0,0,4.94,4360
dec,18,0,0,4.94,4500
dec,19,0,0,4.94,4500
dec,20,0,0,4.94,4400
dec,1,0,0,2.94,4300
dec,2,0,0,2.94,4250
dec,3,0,0,2.94,4275
dec,4,0,0,2.94,4260
dec,5,0,0,2.94,4300
dec,6,0,0,2.94,4350
dec,7,0,0,2.94,4250
dec,8,0,0,2.94,4300
dec,9,0,0,2.94,4350
dec,10,0,0,2.94,4350
dec,11,0,0,2.94,4300
dec,12,0,0,2.94,4350
dec,13,0,0,2.94,4400
dec,14,0,0,2.94,4320
dec,15,0,0,2.94,4360
dec,16,0,0,2.94,4300
dec,17,0,0,2.94,4250
dec,18,0,0,2.94,4275
dec,19,0,0,2.94,4260
dec,20,0,0,2.94,4300
dec,1,0,0,4.86,4100
dec,2,0,0,4.86,4200
dec,3,0,0,4.86,4000
dec,4,0,0,4.86,4200
dec,5,0,0,4.86,4100
dec,6,0,0,4.86,4200
dec,7,0,0,4.86,4300
dec,8,0,0,4.86,4275
dec,9,0,0,4.86,4250
dec,10,0,0,4.86,4200
dec,11,0,0,4.86,4100
dec,12,0,0,4.86,4000
dec,13,0,0,4.86,4275
dec,14,0,0,4.86,4200
dec,15,0,0,4.86,4100
dec,16,0,0,4.86,4300
dec,17,0,0,4.86,4000
dec,18,0,0,4.86,4280
dec,19,0,0,4.86,4100
dec,20,0,0,4.86,4200
dec,1,0,0,7.66,4300
dec,2,0,0,7.66,4350
dec,3,0,0,7.66,4400
dec,4,0,0,7.66,4300
dec,5,0,0,7.66,4350
dec,6,0,0,7.66,4450
dec,7,0,0,7.66,4500
dec,8,0,0,7.66,4400
dec,9,0,0,7.66,4500
dec,10,0,0,7.66,4550
dec,11,0,0,7.66,4600
dec,12,0,0,7.66,4500
dec,13,0,0,7.66,4560
dec,14,0,0,7.66,4650
dec,15,0,0,7.66,4700
dec,16,0,0,7.66,4680
dec,17,0,0,7.66,4650
dec,18,0,0,7.66,4400
dec,19,0,0,7.66,4460
dec,20,0,0,7.66,4460
dec,1,0,0,6.76,6050
dec,2,0,0,6.76,5700
dec,3,0,0,6.76,5600
dec,4,0,0,6.76,5550
dec,5,0,0,6.76,5900
dec,6,0,0,6.76,5800
dec,7,0,0,6.76,5850
dec,8,0,0,6.76,5700
dec,9,0,0,6.76,5800
dec,10,0,0,6.76,5600
dec,11,0,0,6.76,5350
dec,12,0,0,6.76,5100
dec,13,0,0,6.76,5200
dec,14,0,0,6.76,5400
dec,15,0,0,6.76,5350
dec,16,0,0,6.76,5400
dec,17,0,0,6.76,5200
dec,18,0,0,6.76,5200
dec,19,0,0,6.76,5200
dec,20,0,0,6.76,5250
