month,day,area_sown,yield,inflation,price
feb,1,0,0,4.94,5100
feb,2,0,0,4.94,5150
feb,3,0,0,4.94,5200
feb,4,0,0,4.94,5000
feb,5,0,0,4.94,4950
feb,6,0,0,4.94,4900
feb,7,0,0,4.94,4930
feb,8,0,0,4.94,4950
feb,9,0,0,4.94,4900
feb,10,0,0,4.94,4850
feb,11,0,0,4.94,4860
feb,12,0,0,4.94,4840
feb,13,0,0,4.94,4850
feb,14,0,0,4.94,4900
feb,15,0,0,4.94,4950
feb,16,0,0,4.94,5000
feb,17,0,0,4.94,4930
feb,18,0,0,4.94,4950
feb,19,0,0,4.94,4975
feb,20,0,0,4.94,4900
feb,1,0,0,2.94,4500
feb,2,0,0,2.94,4460
feb,3,0,0,2.94,4450
feb,4,0,0,2.94,4500
feb,5,0,0,2.94,4550
feb,6,0,0,2.94,4525
feb,7,0,0,2.94,4500
feb,8,0,0,2.94,4560
feb,9,0,0,2.94,4550
feb,10,0,0,2.94,4600
feb,11,0,0,2.94,4650
feb,12,0,0,2.94,4400
feb,13,0,0,2.94,4450
feb,14,0,0,2.94,4500
feb,15,0,0,2.94,4550
feb,16,0,0,2.94,4600
feb,17,0,0,2.94,4650
feb,18,0,0,2.94,4660
feb,19,0,0,2.94,4600
feb,20,0,0,2.94,4450
feb,1,0,0,4.86,3900
feb,2,0,0,4.86,3950
feb,3,0,0,4.86,4000
feb,4,0,0,4.86,3910
feb,5,0,0,4.86,3900
feb,6,0,0,4.86,3950
feb,7,0,0,4.86,3750
feb,8,0,0,4.86,3600
feb,9,0,0,4.86,3550
feb,10,0,0,4.86,3700
feb,11,0,0,4.86,3650
feb,12,0,0,4.86,3760
feb,13,0,0,4.86,3800
feb,14,0,0,4.86,3810
feb,15,0,0,4.86,3910
feb,16,0,0,4.86,3900
feb,17,0,0,4.86,3950
feb,18,0,0,4.86,3750
feb,19,0,0,4.86,3600
feb,20,0,0,4.86,3550
feb,1,0,0,7.66,4600
feb,2,0,0,7.66,4650
feb,3,0,0,7.66,4750
feb,4,0,0,7.66,4675
feb,5,0,0,7.66,4680
feb,6,0,0,7.66,4700
feb,7,0,0,7.66,4750
feb,8,0,0,7.66,4860
feb,9,0,0,7.66,4850
feb,10,0,0,7.66,4800
feb,11,0,0,7.66,4860
feb,12,0,0,7.66,4900
feb,13,0,0,7.66,4950
feb,14,0,0,7.66,5000
feb,15,0,0,7.66,4950
feb,16,0,0,7.66,4975
feb,17,0,0,7.66,4900
feb,18,0,0,7.66,4800
feb,19,0,0,7.66,4885
feb,20,0,0,7.66,4900
feb,1,0,0,6.76,4500
feb,2,0,0,6.76,4550
feb,3,0,0,6.76,4450
feb,4,0,0,6.76,4440
feb,5,0,0,6.76,4450
feb,6,0,0,6.76,4500
feb,7,0,0,6.76,4550
feb,8,0,0,6.76,4450
feb,9,0,0,6.76,4450
feb,10,0,0,6.76,4500
feb,11,0,0,6.76,4550
feb,12,0,0,6.76,4600
feb,13,0,0,6.76,4500
feb,14,0,0,6.76,4550
feb,15,0,0,6.76,4600
feb,16,0,0,6.76,4600
feb,17,0,0,6.76,4550
feb,18,0,0,6.76,4570
feb,19,0,0,6.76,4600
feb,20,0,0,6.76,4550
