month,day,area_sown,yield,inflation,price
nov,1,0,0,4.94,4800
nov,2,0,0,4.94,4800
nov,3,0,0,4.94,4700
nov,4,0,0,4.94,4750
nov,5,0,0,4.94,4650
nov,6,0,0,4.94,4600
nov,7,0,0,4.94,4620
nov,8,0,0,4.94,4550
nov,9,0,0,4.94,4500
nov,10,0,0,4.94,4500
nov,11,0,0,4.94,4550
nov,12,0,0,4.94,4500
nov,13,0,0,4.94,4560
nov,14,0,0,4.94,4400
nov,15,0,0,4.94,4350
nov,16,0,0,4.94,4300
nov,17,0,0,4.94,4400
nov,18,0,0,4.94,4340
nov,19,0,0,4.94,4300
nov,20,0,0,4.94,4400
nov,1,0,0,2.94,4400
nov,2,0,0,2.94,4360
nov,3,0,0,2.94,4400
nov,4,0,0,2.94,4350
nov,5,0,0,2.94,4360
nov,6,0,0,2.94,4360
nov,7,0,0,2.94,4300
nov,8,0,0,2.94,4350
nov,9,0,0,2.94,4360
nov,10,0,0,2.94,4500
nov,11,0,0,2.94,4550
nov,12,0,0,2.94,4450
nov,13,0,0,2.94,4400
nov,14,0,0,2.94,4460
nov,15,0,0,2.94,4500
nov,16,0,0,2.94,4450
nov,17,0,0,2.94,4300
nov,18,0,0,2.94,4250
nov,19,0,0,2.94,4275
nov,20,0,0,2.94,
nov,1,0,0,4.86,4650
nov,2,0,0,4.86,4400
nov,3,0,0,4.86,4460
nov,4,0,0,4.86,4350
nov,5,0,0,4.86,4300
nov,6,0,0,4.86,4200
nov,7,0,0,4.86,4100
nov,8,0,0,4.86,4150
nov,9,0,0,4.86,4000
nov,10,0,0,4.86,4150
nov,11,0,0,4.86,4100
nov,12,0,0,4.86,4150
nov,13,0,0,4.86,4280
nov,14,0,0,4.86,4400
nov,15,0,0,4.86,4500
nov,16,0,0,4.86,4450
nov,17,0,0,4.86,4350
nov,18,0,0,4.86,4400
nov,19,0,0,4.86,4450
nov,20,0,0,4.86,4500
nov,1,0,0,7.66,4300
nov,2,0,0,7.66,4350
nov,3,0,0,7.66,4400
nov,4,0,0,7.66,4300
nov,5,0,0,7.66,4350
nov,6,0,0,7.66,4450
nov,7,0,0,7.66,4500
nov,8,0,0,7.66,4400
nov,9,0,0,7.66,4500
nov,10,0,0,7.66,4550
nov,11,0,0,7.66,4600
nov,12,0,0,7.66,4500
nov,13,0,0,7.66,4560
nov,14,0,0,7.66,4650
nov,15,0,0,7.66,4700
nov,16,0,0,7.66,4680
nov,17,0,0,7.66,4650
nov,18,0,0,7.66,4400
nov,19,0,0,7.66,4460
nov,20,0,0,7.66,4460
nov,1,0,0,6.76,6050
nov,2,0,0,6.76,5700
nov,3,0,0,6.76,5600
nov,4,0,0,6.76,5550
nov,5,0,0,6.76,5900
nov,6,0,0,6.76,5800
nov,7,0,0,6.76,5850
nov,8,0,0,6.76,5700
nov,9,0,0,6.76,5800
nov,10,0,0,6.76,5600
nov,11,0,0,6.76,5350
nov,12,0,0,6.76,5100
nov,13,0,0,6.76,5200
nov,14,0,0,6.76,5400
nov,15,0,0,6.76,5350
nov,16,0,0,6.76,5400
nov,17,0,0,6.76,5200
nov,18,0,0,6.76,5200
nov,19,0,0,6.76,5200
nov,20,0,0,6.76,5250
