month,day,area_sown,yield,inflation,price
oct,1,0,0,4.94,5150
oct,2,0,0,4.94,5100
oct,3,0,0,4.94,5050
oct,4,0,0,4.94,5100
oct,5,0,0,4.94,5100
oct,6,0,0,4.94,5050
oct,7,0,0,4.94,5000
oct,8,0,0,4.94,4950
oct,9,0,0,4.94,5000
oct,10,0,0,4.94,5050
oct,11,0,0,4.94,5150
oct,12,0,0,4.94,5200
oct,13,0,0,4.94,5100
oct,14,0,0,4.94,5000
oct,15,0,0,4.94,4940
oct,16,0,0,4.94,4950
oct,17,0,0,4.94,4900
oct,18,0,0,4.94,4850
oct,19,0,0,4.94,4800
oct,20,0,0,4.94,4800
oct,1,0,0,2.94,4200
oct,2,0,0,2.94,4250
oct,3,0,0,2.94,4150
oct,4,0,0,2.94,4100
oct,5,0,0,2.94,4160
oct,6,0,0,2.94,4260
oct,7,0,0,2.94,4200
oct,8,0,0,2.94,4150
oct,9,0,0,2.94,4160
oct,10,0,0,2.94,4200
oct,11,0,0,2.94,4250
oct,12,0,0,2.94,4210
oct,13,0,0,2.94,4150
oct,14,0,0,2.94,4150
oct,15,0,0,2.94,4200
oct,16,0,0,2.94,4170
oct,17,0,0,2.94,4150
oct,18,0,0,2.94,4200
oct,19,0,0,2.94,4300
oct,20,0,0,2.94,4300
oct,1,0,0,4.86,4660
oct,2,0,0,4.86,4550
oct,3,0,0,4.86,4525
oct,4,0,0,4.86,4500
oct,5,0,0,4.86,4500
oct,6,0,0,4.86,4550
oct,7,0,0,4.86,4530
oct,8,0,0,4.86,4510
oct,9,0,0,4.86,4600
oct,10,0,0,4.86,4650
oct,11,0,0,4.86,4800
oct,12,0,0,4.86,4700
oct,13,0,0,4.86,4750
oct,14,0,0,4.86,4650
oct,15,0,0,4.86,4700
oct,16,0,0,4.86,4680
oct,17,0,0,4.86,4650
oct,18,0,0,4.86,4400
oct,19,0,0,4.86,4460
oct,20,0,0,4.86,4460
oct,1,0,0,7.66,4300
oct,2,0,0,7.66,4350
oct,3,0,0,7.66,4400
oct,4,0,0,7.66,4300
oct,5,0,0,7.66,4350
oct,6,0,0,7.66,4450
oct,7,0,0,7.66,4500
oct,8,0,0,7.66,4400
oct,9,0,0,7.66,4500
oct,10,0,0,7.66,4550
oct,11,0,0,7.66,4600
oct,12,0,0,7.66,4500
oct,13,0,0,7.66,4560
oct,14,0,0,7.66,4650
oct,15,0,0,7.66,4700
oct,16,0,0,7.66,4680
oct,17,0,0,7.66,4650
oct,18,0,0,7.66,4400
oct,19,0,0,7.66,4460
oct,20,0,0,7.66,4460
oct,1,0,0,6.76,5400
oct,2,0,0,6.76,5400
oct,3,0,0,6.76,5500
oct,4,0,0,6.76,5200
oct,5,0,0,6.76,5450
oct,6,0,0,6.76,5500
oct,7,0,0,6.76,5600
oct,8,0,0,6.76,5500
oct,9,0,0,6.76,5600
oct,10,0,0,6.76,5550
oct,11,0,0,6.76,5300
oct,12,0,0,6.76,5500
oct,13,0,0,6.76,5700
oct,14,0,0,6.76,5650
oct,15,0,0,6.76,5500
oct,16,0,0,6.76,5500
oct,17,0,0,6.76,5400
oct,18,0,0,6.76,5525
oct,19,0,0,6.76,5500
oct,20,0,0,6.76,6050
