month,day,area_sown,yield,inflation,price
sept,1,0,0,4.94,4500
sept,2,0,0,4.94,4650
sept,3,0,0,4.94,4600
sept,4,0,0,4.94,4550
sept,5,0,0,4.94,4575
sept,6,0,0,4.94,4750
sept,7,0,0,4.94,5000
sept,8,0,0,4.94,4950
sept,9,0,0,4.94,5200
sept,10,0,0,4.94,5400
sept,11,0,0,4.94,5500
sept,12,0,0,4.94,5450
sept,13,0,0,4.94,5600
sept,14,0,0,4.94,5300
sept,15,0,0,4.94,5250
sept,16,0,0,4.94,5300
sept,17,0,0,4.94,5250
sept,18,0,0,4.94,5350
sept,19,0,0,4.94,5300
sept,20,0,0,4.94,5325
sept,1,0,0,2.94,4200
sept,2,0,0,2.94,4150
sept,3,0,0,2.94,4200
sept,4,0,0,2.94,4250
sept,5,0,0,2.94,4300
sept,6,0,0,2.94,4250
sept,7,0,0,2.94,4260
sept,8,0,0,2.94,4200
sept,9,0,0,2.94,4250
sept,10,0,0,2.94,4210
sept,11,0,0,2.94,4260
sept,12,0,0,2.94,4240
sept,13,0,0,2.94,4300
sept,14,0,0,2.94,4300
sept,15,0,0,2.94,4100
sept,16,0,0,2.94,4150
sept,17,0,0,2.94,4110
sept,18,0,0,2.94,3900
sept,19,0,0,2.94,3950
sept,20,0,0,2.94,4200
sept,1,0,0,4.86,4660
sept,2,0,0,4.86,4550
sept,3,0,0,4.86,4525
sept,4,0,0,4.86,4500
sept,5,0,0,4.86,4500
sept,6,0,0,4.86,4550
sept,7,0,0,4.86,4530
sept,8,0,0,4.86,4510
sept,9,0,0,4.86,4600
sept,10,0,0,4.86,4650
sept,11,0,0,4.86,4800
sept,12,0,0,4.86,4700
sept,13,0,0,4.86,4750
sept,14,0,0,4.86,4650
sept,15,0,0,4.86,4700
sept,16,0,0,4.86,4680
sept,17,0,0,4.86,4650
sept,18,0,0,4.86,4400
sept,19,0,0,4.86,4460
sept,20,0,0,4.86,4460
sept,1,0,0,7.66,4300
sept,2,0,0,7.66,4350
sept,3,0,0,7.66,4400
sept,4,0,0,7.66,4300
sept,5,0,0,7.66,4350
sept,6,0,0,7.66,4450
sept,7,0,0,7.66,4500
sept,8,0,0,7.66,4400
sept,9,0,0,7.66,4500
sept,10,0,0,7.66,4550
sept,11,0,0,7.66,4600
sept,12,0,0,7.66,4500
sept,13,0,0,7.66,4560
sept,14,0,0,7.66,4650
sept,15,0,0,7.66,4700
sept,16,0,0,7.66,4680
sept,17,0,0,7.66,4650
sept,18,0,0,7.66,4400
sept,19,0,0,7.66,4460
sept,20,0,0,7.66,4460
sept,1,0,0,6.76,5400
sept,2,0,0,6.76,5400
sept,3,0,0,6.76,5300
sept,4,0,0,6.76,6050
sept,5,0,0,6.76,6000
sept,6,0,0,6.76,5950
sept,7,0,0,6.76,5600
sept,8,0,0,6.76,5500
sept,9,0,0,6.76,5500
sept,10,0,0,6.76,5350
sept,11,0,0,6.76,5550
sept,12,0,0,6.76,5560
sept,13,0,0,6.76,5600
sept,14,0,0,6.76,5900
sept,15,0,0,6.76,5900
sept,16,0,0,6.76,5800
sept,17,0,0,6.76,5600
sept,18,0,0,6.76,5500
sept,19,0,0,6.76,5500
sept,20,0,0,6.76,5450
