month,date,area_sown,yield,inflation,price
march,1,26.6,628,6.08,
march,2,26.6,628,6.08,
march,3,26.6,628,6.08,
march,4,26.6,628,6.08,
march,5,26.6,628,6.08,
march,6,26.6,628,6.08,
march,7,26.6,628,6.08,
march,8,26.6,628,6.08,
march,9,26.6,628,6.08,
march,10,26.6,628,6.08,
march,11,26.6,628,6.08,
march,12,26.6,628,6.08,
march,13,26.6,628,6.08,
march,14,26.6,628,6.08,
march,15,26.6,628,6.08,
march,16,26.6,628,6.08,
march,17,26.6,628,6.08,
march,18,26.6,628,6.08,
march,19,26.6,628,6.08,
march,20,26.6,628,6.08,
